instname,city,state,zip
Salon Professional Academy of Kenosha (The),Kenosha,WI,53142-4950
Abcott Institute,Southfield,MI,48075-5227
Millennia Atlantic University,Doral,FL,33178-2369
First Class Cosmetology School,Beloit,WI,53511-0000
Best Care Training Institute,East Orange,NJ,07018-1703
Southern California Health Institute (SOCHI),North Hollywood,CA,91601-3100
Mesivta Keser Torah,Belmar,NJ,07719-2409
Long Island Nail & Skin Care Institute,Levittown,NY,11756-1316
Cinta Aveda Institute,San Francisco,CA,94108-3204
United Beauty College,Denver,CO,80223-2936
Entourage Institute of Beauty and Esthetics,Lenexa,KS,66215-3803
North American College,Houston,TX,77038-0000
Advanced College of Cosmetology,Waupun,WI,53963-0000
Hands-on Medical Massage School,Redlands,CA,92373-6271
Atelier Esthetique Institute of Esthetics,New York,NY,10016-8804
Simmons College of Kentucky,Louisville,KY,40203-3322
Buckner Barber School,Dallas,TX,75217-1775
Lindsey Institute of Cosmetology,Bowling Green,KY,42103-8036
Pure Aesthetics,Tucson,AZ,85711-2328
Capilo School of Hair Design,Augusta,ME,04330-0000
Real Barbers College (The),Anaheim,CA,92805-2533
Pima Medical Institute-South Denver,Denver,CO,80231-0000
American Health Institute,Port Richey,FL,34654-3743
Progressive Training Centers,Pompano Beach,FL,33060-9238
D'Shaw Institute of Cosmetology,Boise,ID,83704-4406
Bergin University of Canine Studies,Santa Rosa,CA,95407-6834
Twin Rivers Adult School,North Highlands,CA,95660-5523
American Technical Institute,Bayamon,PR,00957-0000
Academy of Aesthetic Arts,Shawnee,KS,66203-3502
Elite Cosmetology School,Yucca Valley,CA,92284-2860
Paul Mitchell The School Honolulu,Honolulu,HI,96816-2433
Skin Care and Spa Institute,Skokie,IL,60077-2200
American Trade School,Saint Ann,MO,63074-1807
Nashville Barber and Style Academy,Nashville,TN,37208-2826
Aveda Institute of New Mexico (The),Albuquerque,NM,87110-3640
Rochester School of Hair Design,Rochester,MN,55901-4310
Cosmetology College of Franklin County,Saint Clair,MO,63077-3448
Grace College of Divinity,Fayetteville,NC,28314-2343
Notter School of Pastry Arts,Orlando,FL,32809-7755
Santa Ana Beauty Academy,Santa Ana,CA,92705-7820
Taylor Andrews Academy of Hair Design,West Jordan,UT,84088-6577
Shepherds Theological Seminary,Cary,NC,27518-9316
Salon 496 Barber Academy,Greenville,SC,29607-2548
CCIC Beauty College,Peoria,AZ,85345-2410
Salon Professional Academy of Elgin (The),Elgin,IL,60123-2319
Cosmopolitan Beauty & Tech School,Annandale,VA,22003-3204
Advanced Training Institute,Las Vegas,NV,89115-7504
Paul Mitchell The School St Louis,St. Louis,MO,63108-1554
Northern Virginia School of Therapeutic Massage,Falls Church,VA,22046-4302
Scholars Cosmetology University,Ann Arbor,MI,48108-0000
Tramy Beauty School,San Diego,CA,92115-6347
Diamonds Cosmetology College,Sherman,TX,75090-2657
Holistic Massage Training Institute,Baltimore,MD,21218-2407
Cosmetic Arts Institute,Walterboro,SC,29488-4216
Manhattan Institute (The),New York,NY,10016-6516
Acaydia School of Aesthetics,Provo,UT,84601-0000
Mauna Loa Helicopters,Kailua Kona,HI,96740-2650
Meridian Institute of Surgical Assisting,Nashville,TN,37218
Keweenaw Bay Ojibwa Community College,Baraga,MI,49908-0000
D. A. Dorsey Educational Center,Miami,FL,33147-6304
Laird Institute of Spa Therapy,Manchester,NH,03102-5263
Jose Maria Vargas University,Pembroke Pines,FL,33025-4534
Mandalyn Academy,American Fork,UT,84003-2161
American Medical Sciences Center,Glendale,CA,91204-5108
Galaxy Medical College,North Hollywood,CA,91606-1593
Flagler Technical Institute,Palm Coast,FL,32137-4714
Georgia Christian University,Lilburn,GA,30047-3778
Toni & Guy Hairdressing Academy,Modesto,CA,95356-0535
Institute of Medical Careers,Pittsburgh,PA,15235-3718
Americana College,Los Angeles,CA,90029-3765
Bella Capelli Academy,Monroeville,PA,15146-2388
GP Institute of Cosmetology,Seattle,WA,98144-2371
International College of Cosmetology,Oakland,CA,94601-3525
Vocational Institute of Florida,Miami,FL,33135-1939
The Collective School Of Music,New York,NY,10011-2026
Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,28679-9657
Oxford Graduate School,Dayton,TN,37321-6736
Allstate Hairstyling & Barber College,Cleveland,OH,44113-3413
Commonwealth of Puerto Rico Department of Education,Hato Rey,PR,00919-0759
Northeast Technology Center,Pryor,OK,74362-0487
St. Luke University,Pomona,CA,91767
Kingston University,Norwalk,CA,90650
Star Career Academy-Norristown,Norristown,PA,19403-2422
