instname,city,state,zip
Everest Institute-Marietta,Marietta,GA,30067
METROPOLITAN TECHNICAL INSTITUTE,SAN JOSE,CA,951281811
ITT Technical Institute-Strongsville,Strongsville,OH,44136
ITT Technical Institute-Norwood,Norwood,OH,45212
ITT Technical Institute-Monroeville,Monroeville,PA,15146
ITT Technical Institute-Tarentum,Tarentum,PA,15084
ITT Technical Institute-Mechanicsburg,Mechanicsburg,PA,17055
ITT Technical Institute-Harrisburg,Harrisburg,PA,17111
CET-Sacramento,Sacramento,CA,95828
STARFIRE MASSAGE SCHOOL,MISSOULA,MT,598024558
VIRGINIA ACADEMY OF MASSAGE THERAPY,NEWPORT NEWS,VA,236063562
CAYCE/REILLY SCHOOL OF MASSOTHERAPY,VIRGINIA BEACH,VA,23451
Cayce Reilly School of Massotherapy,Virginia Beach,VA,23451
ITT Technical Institute-Miami,Miami,FL,33126
Virginia School of Massage,Charlottesville,VA,22903
Southern Careers Institute Inc,San Antonio,TX,78212
Southern Careers Institute 1 Inc,San Antonio,TX,78212
Southern Careers Institute1 Inc.,San Antonio,TX,78221
Southern Careers Institute-San Antonio,San Antonio,TX,78221
CLASSIC CENTER FOR HEALTH AND HEALING,DENVILLE,NJ,7834
ELIM BIBLE INSTITUTE-BUFFALO,ORCHARD PARK,NY,14127
Everest College-Merrillville,Merrillville,IN,46410
LIFEPATH SCHOOL OF MASSAGE THERAPY,PEORIA,IL,616144675
MASSAGE THERAPY INSTITUTE OF OKLAHOMA,TULSA,OK,74145
Colorado Technical University,Greenwood Village,CO,80111-320
Colorado Technical University-Greenwood Village,Greenwood Village,CO,80111-3201
EAST-WEST SCHOOL OF MASSAGE THERAPY,WYOMISSING,PA,19610
TCI TRAINING CENTER INC,GOLDEN VALLEY,MN,55426
High-Tech Institute-Minnesota,Saint Louis Park,MN,55416
Anthem College-Minnesota,Saint Louis Park,MN,55416
LAKESIDE SCHOOL OF MASSAGE THERAPY,MILWAUKEE,WI,53212
MINNESOTA CENTER FOR SHIATSU STUDY,MINNEAPOLIS,MN,55414
JEANE THORNE ADVANTAGE TRAINING CENTERS,ST PAUL,MN,551011579
SEA SCHOOL,FT LAUDERDALE,FL,33316
DUDLEY BEAUTY COLLEGE,GREENSBORO,NC,27406
HOSPITALITY MANAGEMENT TRAINING INSTITUTE,SAN FRANCISCO,CA,94102
PRODUCTIVITY POINT INTERNATIONAL,LAS VEGAS,NV,891214300
RENO PROFESSIONAL BARTENDING SCHOOL,RENO,NV,89502
REMSA,RENO,NV,89502
PIONEER SCHOOL OF REAL ESTATE,Carson City,NV,89701
NATIONAL BARTENDING SCHOOL,LAS VEGAS,NV,89109
MAINTENANCE TRAINING SCHOOL,LAS VEGAS,NV,89110
LOYOLA INSTITUTE FOR MINISTRY,LAS VEGAS,NV,89109
JOIN,RENO,NV,89502
ITT Technical Institute-Henderson,Henderson,NV,89014
DOUGLAS BUSINESS INSTITUTE,LAS VEGAS,NV,89104
COMPUTER INTELLECT TRAINING,LAS VEGAS,NV,89102
CAREER CHOICES,RENO,NV,89502
BARBIZON SCHOOL OF MODELING,LAS VEGAS,NV,89119
AMERICAN REAL ESTATE SCHOOL,LAS VEGAS,NV,89102
ACADEMY OF CASINO CAREERS,RENO,NV,895069031
ABC REAL ESTATE SCHOOL,LAS VEGAS,NV,891451356
American College of Medical Technology,Gardena,CA,90248-161
LAQUITAS SCHOOL OF BARBERING AND COSMETOLOGY,MILWAUKEE,WI,53216
FERNANDIS BEAUTY COLLEGE,CLINTON TOWNSHIP,MI,48035
FUTURE BARBER COLLEGE,LAKE CHARLES,LA,70605
CENTER FOR EMERGENCY MEDICINE OF WESTERN PA,PITTSBURGH,PA,15213
COASTAL VALLEY COLLEGE,EMERYVILLE,CA,94608
STAR TRAINING INSTITUTE,TULSA,OK,74105
THE MADISON SCHOOL,NEW YORK,NY,10018
Urban College of Boston,Boston,MA,02111-109
Arlington Medical Institute,Arlington,TX,76011
Academy of Oriental Medicine,Austin,TX,78757
Academy of Oriental Medicine at Austin,Austin,TX,78757
American College of Acupuncture and Oriental Med,Houston,TX,70063-410
Michigan Theological Seminary,Plymouth,MI,48170
SUCCESS INSTITUTE OF BUSINESS,HOUSTON,TX,77092
JPS Institute for Health Career Development,Fort  Worth,TX,76119
Delta Connection Academy,Sanford,FL,32773
Aerosim Flight Academy,Sanford,FL,32773
Academia Vocational Del Turabo,Caguas,PR,725
The Art Institute of Phoenix,Phoenix,AZ,85021-285
Klamath Community College,Klamath Falls,OR,97603-712
PHIL RULLODA'S ARIZONA SCHOOL OF FLORAL DESIGN,PHOENIX,AZ,85006
Facultad de Derecho Eugenio Maria de Hostos,Mayaguez,PR,680
Star Truck Driving School,Bensenville,IL,60106
Star Truck Driving School-Bensenville,Bensenville,IL,60106
Argosy University-Tampa,Tampa,FL,33614
Defense Language Institute,Monterey,CA,93944-500
VALDOSTA ACADEMY OF BEAUTY CULTURE,VALDOSTA,GA,31601
EBONIE BARBER COLLEGE,MEMPHIS,TN,381042708
Platt College-Lawton,Lawton,OK,73501-3808
Hampton Roads School of Technology,Norfolk,VA,23509
John Wesley International Barber and Beauty College,Long Beach,CA,90813
Santa Barbara College of Oriental Medicine,Santa Barbara,CA,93101-845
Southwest Health Career Institute Inc,Albuquerque,NM,87109
CLASSIC ACADEMY OF BEAUTY,HURLEY,NM,88043
Styles and Profiles Beauty College,Selmer,TN,38375
Nova College de Puerto Rico,Bayamon,PR,960
AMERICAN COLLEGE OF PROFESSIONAL EDUCATION,TUKWILA,WA,98188
Askins Vo-Tech,Fort Smith,AR,72908
Green Country Technology Center,Okmulgee,OK,74447
Technical Education Center-Osceola,Kissimmee,FL,34744
Centura College-Richmond Main,Richmond,VA,23235-5250
Aviation Institute of Maintenance-Virginia Beach,Virginia Beach,VA,23455
Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,23320
SAMARITAN MEDICAL CENTER MEDICAL LAB TECH PROG,WATERTOWN,NY,13601
UNITED STATES INSTITUTE OF CAREERS,NEW YORK,NY,10031
All Saints University of America,New York,NY,10031
BROWN INSTITUTE OF COURT REPORTING AND BUSINESS,LONGVIEW,TX,75601-5120
CET-Durham,Durham,NC,27701
Alexandria CET,Alexandria,VA,22312
CET-Alexandria,Alexandria,VA,22312
CENTER FOR EMPLOYMENT TRAINING-BRONX,BRONX,NY,10460
SCHOOL FOR SELF HEALING,SAN FRANCISCO,CA,94116
NEW ENGLAND SCHOOL OF TRAVEL LTD,CLAREMONT,NH,3743
TEXAS STATE HORSESHOEING SCHOOL,KENNEDALE,TX,46060-7211
CORPUS CHRISTI AVIATION,CORPUS CHRISTI,TX,78415
GLASSON FLIGHT TRAINING,CORPUS CHRISTI,TX,78415
CAREER BLAZERS LEARNING CENTERS OF HOUSTON,HOUSTON,TX,77056
HOUSTON AREA PLUMBING JOINT APPRENTICESHIP COMM,HOUSTON,TX,77009
MRC SCHOOL OF MASSAGE,HOUSTON,TX,77098
ITT Technical Institute-Webster,Webster,TX,77598
DENTAL OPPORTUNITIES,CHANNELVIEW,TX,77530
TRI-STATE SEMI DRIVER TRAINING,HOUSTON,TX,77040
LEONARDS TRAINING PROGRAMS INC,HOUSTON,TX,77057
SKILL BUILDERS,EIGHTY FOUR,PA,15330
CAREER PREPARATORY INSTITUTE,PITTSTON,PA,186401100
PAULS RUN,PHILADELPHIA,PA,19115
PROFESSIONAL NURSES SERVICE TRAINING CENTER,PHILADELPHIA,PA,19138
HOME MANAGEMENT EMPL SKILLS AND ENTREPRENEUR INST,CHEYNEY,PA,19319
WELDER TRAINING AND CERTIFICATION INC,PHILADELPHIA,PA,19137
PENNSYLVANIA INSTITUTE OF PROFESSIONAL BOOKKEEPERS,PHILADELPHIA,PA,19134
CENTRAL NEW YORK BIBLE INSTITUTE,ROME,NY,13440
BUSINESS TRAINING INSTITUTE,UTICA,NY,13502
NEW YORK SCHOOL OF BARTENDING,STATEN ISLAND,NY,10305
Lia Schorr Institute of Cosmetic Skin Care Training,New York,NY,10022-261
NATURAL GOURMET COOKERY SCHOOL,NEW YORK,NY,10010
Merkaz Bnos-Business School,Brooklyn,NY,11214
SECURITY OFFICERS TRAINING ACADEMY,SAN BERNARDINO,CA,924126934
PACIFIC SOUTHWEST SCHOOL ASSOCIATION OF REALTORS,CHULA VISTA,CA,91910
TRAINING DIRECTIONS COLLEGE INC,SAN DIEGO,CA,92121
WOLDEN MULTIMEDIA INSTITUTE,ANAHEIM,CA,92802
WESTERN INSTITUTE OF NEUROMUSCULAR THERAPY,LAGUNA HILLS,CA,92653
CALIFORNIA INSTITUTE FOR COUNSELING STUDIES,PASADENA,CA,91101
COMPUTER SYSTEMS INSTITUTE,SKOKIE,IL,60077
HVAC TECH,BEDFORD PARK,IL,60638
TRANS UNION TRAINING SCHOOL INC,TACOMA,WA,98443
BELLINGHAM DIVE N TRAVEL,BELLINGHAM,WA,98225
MYKUT REAL ESTATE SCHOOL,LYNNWOOD,WA,98036
UTAH CONTRACTORS SCHOOL,PROVO,UT,846012812
MTA TRUCK DRIVING SCHOOL,SALT LAKE CITY,UT,841270835
ARNOLD AND MARTI STRINGHAMS REAL ESTATE SCHOOL,SALT LAKE CITY,UT,84123
INSTITUTE OF COSMETIC ARTS AND SCIENCE,CORPUS CHRISTI,TX,78412
LANDMARK BAPTIST THEOLOGICAL SEMINARY,FT WORTH,TX,76117
AMERICAN AIRLINES TRAVEL ACADEMY,FT WORTH,TX,76155
TEXAS ALLBREED GROOMING SCHOOL INC,ARLINGTON,TX,76001
CLINICAL DENTAL CAREERS,BROWNSVILLE,TX,78521
DOUGLAS AVIATION INC,OLIVE BRANCH,MS,38654
POCONO REAL ESTATE ACADEMY,EAST STROUDSBURG,PA,183012101
International Academy of Advanced Reflexology,Whitehall,PA,18052
TAI TRAVEL ACADEMY,PAOLI,PA,19301
POLLEY ASSOCIATES,NEWTOWN SQUARE,PA,19073
PHILADELPHIA SCHOOL OF BARTENDING,WILMINGTON,DE,19803
SCHLICHER-KRATZ INSTITUTE,NORTH WALES,PA,194541519
MERIDIAN SHIATSU INSTITUTE AND TREATMENT CENTER,WAYNE,PA,19087
EAGLE AVIATION INC,NORTH LAS VEGAS,NV,89030
CASINO GAMING SCHOOL,LAS VEGAS,NV,89109
AMERICAN LOCKSMITH INSTITUTE OF NEVADA,HENDERSON,NV,89015
ACADEMY OF DOG GROOMING,LAS VEGAS,NV,89128
REAL ESTATE ACADEMY,LAS VEGAS,NV,89102
ELECTRONIC TECHNOLOGY INSTITUTE,SAINT GEORGE,UT,847702707
DAHAN INSTITUTE OF MASSAGE STUDIES,LAS VEGAS,NV,89121
QUALITY AIR CONDITIONING SERVICE TRAINING,LAS VEGAS,NV,89109
INTERNATIONAL SCHOOL OF DOG GROOMING,LAS VEGAS,NV,89121
CAREER ADVANTAGE TRAINING,LAS VEGAS,NV,89109
MERCY MEDICAL SERVICES TRAINING CENTER,LAS VEGAS,NV,89102
CAPITOL AVIATION,LINCOLN,NE,68524
UNIVERSITY TRAVEL COLLEGE,FORT MYERS BEACH,FL,339314715
MITON ASBESTOS TRAINING CENTER,NIXA,MO,65714
MISSOURI WELDING INSTITUTE,NEVADA,MO,64772
ACCORDION CONCERTINA REPAIR SCHOOL,DULUTH,MN,55806
US TRUCK DRIVING TRAINING SCHOOL,DETROIT,MI,48210
TRAINING UNLIMITED INC,LOWELL,MA,1851
DIMOK COMMUNITY HEALTH CENTER,ROXBURY,MA,2119
DELUXE ACADEMY OF DESKTOP PUBLISHING,BLANDFORD,MA,01008-9522
BOSTON BARTENDERS SCHOOL OF AMERICA,NORTH DARTMOUTH,MA,02747-180
CAREER VISIONS INC,ATTLEBORO,MA,2703
THE PRINCIPLE SCHOOL OF HEALTH SERVICES,HYDE PARK,MA,2136
CANTON SCHOOL OF BARTENDING,CANTON,MA,2021
Career-Ed Institute-Brockton,Brockton,MA,02301-181
Lincoln Technical Institute-Brockton,Brockton,MA,02301-1818
CENTRAL MASSACHUSETTS SCHOOL OF MASSAGE AND THER,SPENCER,MA,1562
Central Mass School of Massage & Therapy Inc.,Spencer,MA,1562
COMPUTER-ED INSTITUTE-BOSTON,BOSTON,MA,2111
NORTH SHORE PROFESSIONAL REGISTRY OF NURSES INC,GLOUCESTER,MA,1930
SER-JOBS FOR PROGRESS BUSINESS SCHOOL,FALL RIVER,MA,2720
CAREGIVERS TRAINING SCHOOL,SPRINGFIELD,MA,01128-1343
MARTIN ELECTRICAL AND TECHNICAL SCHOOL,NORWOOD,MA,2062
CENTER FOR EDUCATIONAL ENHANCEMENT DEVELOPMENT,QUINCY,MA,2169
POLARITY REALIZATION INSTITUTE,IPSWICH,MA,1938
L J TECHNICAL INSTITUTE,MANSFIELD,MA,2048
NORTHEAST MARITIME INSTITUTE,FAIRHAVEN,MA,02719-2960
LAFAYETTE GENERAL MEDICAL CENTER SCH OF HEALTH SCI,LAFAYETTE,LA,70505
HURST EDUCATION CENTER,LAFAYETTE,LA,70501
SOUTHWEST PARALEGAL COLLEGE,LAFAYETTE,LA,70501
CAREERS INC,LAFAYETTE,LA,705073504
INTERNATIONAL CHRISTIAN UNIVERSITY,LAKE CHARLES,LA,70616-6809
BURK BAKER SCHOOL OF REAL ESTATE AND APPRAISING,BATON ROUGE,LA,70816
LENORA SCHOOL OF PHLEBOTOMY,SLIDELL,LA,70460
ELLE COLLEGE OF COSMETOLOGY,COVINGTON,LA,70433
DEVONAIR,LOUISVILLE,KY,40205
KENTUCKY SCHOOL OF BARTENDING,LOUISVILLE,KY,402041614
COMMONWEALTH SCHOOLS OF INSURANCE,LOUISVILLE,KY,40252
CHRISTIAN INSTITUTE OF BIBLICAL STUDIES,LOUISVILLE,KY,40214
KENTUCKY HEALTH CARE TRAINING INSTITUTE,LOUISVILLE,KY,40222
RTS ENTERPRISES INC,DARIEN,IL,60561
MASTERS SCHOOL OF BARTENDING INC,BURBANK,IL,60459
ACADEMY OF REAL ESTATE,CHICAGO,IL,606393029
ELEGANT SCHOOL OF BEAUTY,CHICAGO,IL,60613
Pyramid Career Institute,Chicago,IL,60657-420
CENTURY 21-REAL ESTATE ACADEMY,DES PLAINES,IL,60018
AMERICAN TRAVEL EDUCATORS INC,ARLINGTON HEIGHTS,IL,600046638
CENTRAL ALABAMA SKILL CENTER,OPELIKA,AL,36801
CALVARY CHRISTIAN LIFE MINISTRIES INC,COLUMBUS,GA,31901
Beacon University,Columbus,GA,31909-466
EARL PAULK INSTITUTE,DECATUR,GA,30034
Rising Spirit Institute of Natural Health,Atlanta,GA,30338
Gwinnett College-Sandy Springs,Sandy Springs,GA,30328
ATLANTA AVIATION INC,CHAMBLEE,GA,303413344
NEW HORIZONS SCHOOL OF TRAVEL,STUART,FL,34997
MARTIN COUNTY HIGH SCHOOL ADULT EDUCATION,STUART,FL,34994
STAR ACADEMY FOR PET STYLISTS,STUART,FL,34997
PHOENIX EAST AVIATION,DAYTONA BEACH,FL,32114
ALL FLORIDA INSURANCE SCHOOL,ORMOND BEACH,FL,32174
DAYTONA INSTITUTE OF MASSAGE THERAPY,PORT ORANGE,FL,32127
SOUTHARDS RACING SCHOOL,NEW SMYRNA BEACH,FL,32168
SCHOOL OF REAL ESTATE,DAYTONA BEACH,FL,32114
JEFFERSON COUNTY ASSOCIATION OF REALTORS EDUC TRNG,LAKEWOOD,CO,80215
TELLER TRAINING INSTITUTE,ARVADA,CO,80003
THE CENTER FOR THE ART OF DOG GROOMING,LAKEWOOD,CO,80232
TRANSPERSONAL HYPNOTHERAPY INSTITUTE,FRISCO,CO,80443
COOKING SCH OF THE ROCKIES-PROF CULINARY ARTS PROG,BOULDER,CO,80303
ROCKY MOUNTAIN CENTER FOR BOTANICAL STUDIES,BOULDER,CO,80308
AVALON INSTITUTE,BOULDER,CO,80304
MACINTOSH REAL ESTATE SCHOOL INC,Arvada,CO,80003-4542
UNIVERSAL TRAINING CENTER,HIGHLANDS,CA,92346
MOMAX TRUCK DRIVING SCHOOL,NATIONAL CITY,CA,92950
MARITIME INSTITUTE INC,SAN DIEGO,CA,921062644
MEDI-SCRIPT CAREERS,SAN DIEGO,CA,92126
NEWTON INTERNATIONAL COLLEGE-GARDEN GROVE,GARDEN GROVE,CA,92844
BELAVI INSTITUTE FOR FACIAL MASSAGE,LAGUNA BEACH,CA,926511343
EXCEL TECHNICAL COLLEGE,ORANGE,CA,92668
PACIFIC BEAUTY COLLEGE OF WESTMINSTER,WESTMINSTER,CA,92683
GLAMOUR BEAUTY COLLEGE,SANTA ANA,CA,92704
CALIFORNIA SECURITY ACADEMY,SANTA ANA,CA,92705
INTERNATIONAL BUSINESS LANGUAGE AND BUSINESS TRNG,MISSION VIEJO,CA,92691
ESQUIRE COLLEGE OF PARALEGAL,PASADENA,CA,91105
LOS ANGELES FLORAL CAREER CENTER,LOS ANGELES,CA,90014
NATIONAL BARTENDERS SCHOOL,SHERMAN OAKS,CA,91423
COMMUNITY CAREER DEVELOPMENT INC,LOS ANGELES,CA,90005
DISCOVERY TRAINING CENTER,LANCASTER,CA,93534
LA CANADA UNIFIED SCHOOL DISTRICT-ROP,LA CANADA,CA,91011
APPRAISAL SCHOOL,WOODLAND HILLS,CA,913677757
THE ADVANCED CAREER COLLEGE,WEST PALMDALE,CA,93551
LARRY H LAYTON SCHOOL OF LAW,ACTON,CA,93510
INSTITUTE OF ADVANCED PSYCHOLOGICAL STUDIES,WESTLAKE VILLAGE,CA,91361
NURSING LEARNING CENTER,LONG BEACH,CA,90814
HEMPHILL SCHOOLS,LOS ANGELES,CA,900574312
COMPUTER AND ELECTRONIC TRAINING CENTER,SIGNAL HILL,CA,908062216
CENTURY 21-AMBER TESTING CENTER,TORRANCE,CA,90505
INTERNATIONAL BARTENDERS SCHOOL,OXNARD,CA,93030
NOVAQUEST COMPUTER TRAINING CENTER,TORRANCE,CA,90503
PUBLIC SAFETY TRAINING ASSOCIATION INC,CERRITOS,CA,90703
CALIFORNIA HEALTH INSTITUTE INC,PALMDALE,CA,93550
AMERICAN PACIFIC COLLEGE,VAN NUYS,CA,91405
SOUTHERN CALIFORNIA SCHOOL OF MASSAGE,RIVERSIDE,CA,92503
STUDIO OF CREATIVE MAKEUP ART-SPECIAL EFFECTS,Arcadia,CA,91006
COMPUCOLLEGE,STUDIO CITY,CA,91604
LIKIE FASHION AND TECHNOLOGY COLLEGE,ROSEMEAD,CA,91770
MEDALLION COMPUTING CENTER,CHATSWORTH,CA,913112935
ALLIED BUSINESS SCHOOLS,LAGUNA HILLS,CA,92653
CALIG TRAVEL SCHOOL,WOODLAND HILLS,CA,91364
DESERT RESORTS SCHOOL OF SOMATHERAPY,DESERT HOT SPRINGS,CA,92240
FELDE PUBLICATION AND PROGRAMS,MANHATTAN BEACH,CA,90266
OTTS AVIATION,BENTON,AR,72015
ARIZONA SUN TECHNICAL,TUSCON,AZ,85704
HIGHWAY DISTRIBUTION SERVICES,TUCSON,AZ,857317600
INSTITUTE OF WORD PROCESSING,TUCSON,AZ,85711
TUCSON UNIVERSITY,TUCSON,AZ,85701
Indiana Business College-Evansville,Evansville,IN,47715-460
Harrison College-Evansville,Evansville,IN,47715-4601
Oregon Coast Community College,Newport,OR,97365-492
Midwestern University,Glendale,AZ,85308
Midwestern University-Glendale,Glendale,AZ,85308
RHODE ISLAND BEAUTY ACADEMY,JOHNSTON,RI,02919-4929
INTERNATIONAL INSTRUCTOR ACADEMY,MESA,AZ,85202
American Commercial College-Wichita Falls,Wichita Falls,TX,76310
VO-TECH INSTITUTE INC,MILWAUKIE,OR,97266
WORLDWIDE EDUCATIONAL SERVICES INC,ELIZABETH,NJ,7201
NEVADA SCHOOL OF COSMETOLOGY,NEVADA,MO,64772
NATIONAL DEFENSE UNIVERSITY,FT MCNAIR,DC,203195066
SAGE TECHNICAL SERVICES,CASPER,WY,82604-1505
OMEGA TRAVEL SCHOOL,FAIRFAX,VA,220312400
Mid-Cities Barber College,Grand Prairie,TX,75051-489
Professional Electric School,Manati,PR,674
Professional Electrical School Inc,Manati,PR,674
AIRMAN'S PROFICIENCY CENTER,HILLSBORO,OR,97124
LEONARDS BARBER COLLEGE,ST LOUIS,MO,63115
SOUTHERN TECHNICAL CENTER,MIAMI,FL,33130
HELICOPTER ADVENTURES INC,CONCORD,CA,94520
INFORMATION PROFESSIONALS-MIDLOTHIAN,OAK FOREST,IL,60452
NATIONAL REAL ESTATE SCHOOL,SCHAUMBURG,IL,60194
CHAFEY ADULT SCHOOL,ONTARIO,CA,91762
INTERNAL CONTROL,SAN BERNARDINO,CA,92408
BMR TRAINING CENTERS,SAN BERNARDINO,CA,92408
American College of Health Professions,Redlands,CA,92374
American College of Healthcare,Riverside,CA,92505
LAWRENCE AND CO COLLEGE OF COSMETOLOGY,HANFORD,CA,93230
FOSTER ELITE TRUCK DRIVING SCHOOL,RED BLUFF,CA,960802807
IMI BIBLE COLLEGE SEMINARY,VISTA,CA,92084
UNITED TRUCK DRIVING,SAN DIEGO,CA,92108
SCHOOL OF LOCK TECHNOLOGY,SAN DIEGO,CA,92101
TRANSLATION AND INTERPRETATION EDUCATION CENTER,SAN DIEGO,CA,92149
Pacific College,Costa Mesa,CA,92626
PROFESSIONAL EDUCATION AND TRAINING CORPORATION,ANAHEIM,CA,928041855
PACIFIC WEST COLLEGE OF LAW,ANAHEIM,CA,92806
CASA REAL LEARNING CENTER,SANTA ANA,CA,92701
VINEYARD BIBLE INSTITUTE,ANAHEIM,CA,92817
TRAVEL AND BUSINESS ACADEMY,PHILADELPHIA,PA,19115
Springhouse Computer School,Exton,PA,19341
Talent Academy,Upper Darby,PA,19082
MAIN LINE CENTER FOR BARTENDING INC,PHILADELPHIA,PA,19127
COOKS INTERNATIONAL BARTENDING SCHOOL,LOUISVILLE,KY,40204
CARDINAL WINGS INC,LOUISVILLE,KY,40205
TRAVEL PROFESSIONALS INSTITUTE,POMPANO BEACH,FL,330642232
NEW HORIZONS COMPUTER LEARNING CENTER INC,LOUISVILLE,KY,40223
LAWRENCE AIR SERVICE,LAWRENCE,KS,66044
SCHOOL FOR AVIATION MAINTENANCE TECHNICIANS,STRATFORD,CT,6615
STAT TRAINING CENTER,BRIDGEPORT,CT,6604
Greater West Town Training Partnership,Chicago,IL,60612
Champion Institute of Cosmetology,Palm Springs,CA,92264
NORTH AMERICAN TECHNICAL COLLEGE,PHOENIX,AZ,85040-2926
METRO COLLEGE,PONCE,PR,731
ARKANSAS INSTITUTE OF HOLY LAND STUDIES,SHERWOOD,AR,72120
STELLA ADLER CONSERVATORY OF ACTING,NEW YORK,NY,10003
ST JOSEPHS HOSPITAL HISTOLOGIC TECHNICIAN PROGRAM,MARSHFIELD,WI,54449
Advocate Illinois Masonic School of Radiologic Technology,Chicago,IL,60657
Sonoma College,Petaluma,CA,94954
Caguas Central College,Caguas,PR,725
Academia Serrant Inc,Ponce,PR,00717-156
HAMILTON PROFESSIONAL SCHOOL,ARROYO,PR,714
BSG TRAINING INSTITUTE,CHICAGO,IL,60604
EVERGREEN BEAUTY COLLEGE,SAN JOSE,CA,95121
School for Film and Television,New York,NY,10011-422
New York Conservatory for Dramatic Arts,New York,NY,10011-4225
School of Communication Arts,Raleigh,NC,27614-707
Living Arts College,Raleigh,NC,27614-7076
CARILION MEDICAL CENTER SCHOOL OF CLINICAL LAB SCI,ROANOKE,VA,24014
ST FRANCIS MEDICAL CENTER SCHOOL OF RESP CARE,PITTSBURGH,PA,15201
Arizona College of Allied Health,Glendale,AZ,85302
Houghton Lake Institute of Cosmetology LLC,Houghton Lake,MI,48629-970
New York Paralegal School,New York,NY,10007
ADMIRAL PEARY AREA VOCATIONAL TECHNICAL SCHOOL,EBENSBURG,PA,15931
MANAGEMENT COLLEGE OF SAN FRANCISCO,SAN FRANCISCO,CA,94109
Motif Beauty Academy,Winchester,KY,40391-195
Globelle Technical Institute,Vega Baja,PR,00693-000
Indian Capital Technology Center-Stilwell,Stilwell,OK,74960
Brown Mackie College-Hopkinsville,Hopkinsville,KY,42240-494
University of Phoenix-Louisiana Campus,Metairie,LA,70001-208
Manhattan School of Computer Technology,New York,NY,10004
Ser Business and Technical Institute,Chicago,IL,60623
INSURANCE SYSTEMS OF TENNESSEE,NASHVILLE,TN,372111068
Argosy University-Schaumburg,Schaumburg,IL,60173
Argosy University-Schaumburg Campus,Schaumburg,IL,60173-5403
Arizona Board of Regents,Phoenix,AZ,85004
JEWISH UNIVERSITY OF AMERICA,SKOKIE,IL,60077
LEADERSHIP INSTITUTE OF SEATTLE,KENMORE,WA,980284966
EDUCATIONAL TRAINING CENTER,LARGO,FL,33777
Tillamook Bay Community College,Tillamook,OR,97141
CARLSON TRAVEL ACADEMY,WILLISTON,VT,5495
NORTHWEST GRADUATE SCHOOL OF MINISTRY,Seattle,WA,98104
Bakke Graduate University,Seattle,WA,98104
WASHINGTON INSTITUTE FOR GRADUATE STUDIES,SANDY,UT,84093
WESTERN TRUCK SCHOOL,ALBUQUERQUE,NM,87107
UNIVERSITY OF HAWAII-OFF OF CHANCLR FOR COMM COLL,HONOLULU,HI,96822
TRINITY REP CONSERVATORY,PROVIDENCE,RI,2903
Columbia Gorge Community College,The Dalles,OR,97058
SOUTHERN CALIFORNIA INST FOR BIOENERGETIC ANALYSIS,COSTA MESA,CA,92626
Arkansas State University-Mountain Home,Mountain Home,AR,72653
Gutenberg College,Eugene,OR,97403
Sanford-Brown College-Middleburg Heights,Middleburg Heights,OH,44130
Sanford-Brown College-Atlanta,Atlanta,GA,30328
NATIONAL TRAINING INSTITUTE-MODESTO,MODESTO,CA,95358
Western Suffolk BOCES,Northport,NY,11768
York County Community College,Wells,ME,4090
VALLECITOS CET INC,BERKELEY,CA,94703
BETHANY BIBLE COLLEGE,DOTHAN,AL,36302
ITT Technical Institute-Getzville,Getzville,NY,14068-0327
PROFESSIONAL SCHOOL OF PSYCHOLOGY,SACRAMENTO,CA,95825
Career Blazers Learning Center,Washington,DC,20037-189
Career Technical Institute,Washington,DC,20037-1898
ANDREW JACKSON UNIVERSITY,BIRMINGHAM,AL,35209
The College of Saint Thomas More,Fort Worth,TX,76109
SACRAMENTO COUNTY REGIONAL OCCUPATIONAL PROGRAM,MATHER AFB,CA,95655
Yeshiva D'monsey Rabbinical College,Monsey,NY,10952
Virginia College-Huntsville,Huntsville,AL,35805-994
Virginia College-Birmingham,Birmingham,AL,35209-370
Escuela de Peritos Electricitas de Isabela,Isabela,PR,662
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,85282
Francois D Hair Academy,Sandy,UT,84070
Echelon Edge Academy Of Hair Skin and Nails,Sandy,UT,84070-2004
Royal Beauty Careers,Houston,TX,77069-461
GOODWILL INDUSTRIES,MARINA,CA,93933
AMERICAN M & N UNIVERSITY,NEW ORLEANS,LA,70115
Tidewater Tech,Chesapeake,VA,23320
Centura College-Chesapeake,Chesapeake,VA,23320
Florida Metropolitan University-Melbourne,Melbourne,FL,32935
Everest University-Melbourne,Melbourne,FL,32935
Everest College-Melbourne,Melbourne,FL,32935
Automeca Technical College,Ponce,PR,731
Automeca Technical College-Ponce,Ponce,PR,731
Automeca Technical College-Caguas,Caguas,PR,625
Automeca Technical College-Bayamon,Bayamon,PR,957
Beauty Schools of America-Hialeah,Hialeah,FL,33012-3322
CORNERSTONE THEOLOGICAL UNIVERSITY,JACKSONVILLE,FL,32233
Crawford County Area Vocational Technical School Practical Nursing Program,Meadville,PA,16335
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,16335
Texas Career Institute-Kerrville,Kerrville,TX,78028
Argosy University-Washington DC Campus,Arlington,VA,22209
Argosy University-Washington D.C.,Arlington,VA,22209
WORLD COLLEGE,VIRGINIA BEACH,VA,234552500
Mountaineer Beauty College,Saint Albans,WV,25177
