player,team,conference
Bradlee Anae,Utah,Pac-12
David Washington,Old Dominion,Conference USA
Matt Guidry,UT San Antonio,Conference USA
Michael Armstrong,SMU,American Athletic
Devwah Whaley,Arkansas,SEC
Vayante Copeland,Michigan State,Big Ten
Jordan Sterns,Oklahoma State,Big 12
Keon Howard,Southern Mississippi,Conference USA
Connor McPherson,Arkansas,SEC
Jared Smolar,Rutgers,Big Ten
Payton Hendrix,Texas Tech,Big 12
Cordrea Tankersley,Clemson,ACC
Brian Hill,Wyoming,Mountain West
" Team",Arkansas State,Sun Belt
Darreus Rogers,USC,Pac-12
Joseph Ajeigbe,Duke,ACC
Cody Block,Southern Mississippi,Conference USA
Isaiah Ford,Virginia Tech,ACC
Josh Marshall,Troy,Sun Belt
Raekwon James,Kent State,Mid-American
Money Hunter,Arkansas State,Sun Belt
Alex Hoag,Kent State,Mid-American
Chance Allen,Houston,American Athletic
Devante Downs,California,Pac-12
Bradan Smith,Charlotte,Conference USA
J'Mon Moore,Missouri,SEC
Gerrad Kough,Colorado,Pac-12
Mitchell Ludwig,Virginia Tech,ACC
Adam Mitcheson,Buffalo,Mid-American
An. Taylor,Texas State,Sun Belt
Conor Blount,Oregon State,Pac-12
Mason Denley,Houston,American Athletic
Ryan Becker,SMU,American Athletic
Averee Robinson,Temple,American Athletic
Julian Hylton,Illinois,Big Ten
Andre Levrone,Virginia,ACC
Malik McMorris,California,Pac-12
Jake Oldroyd,BYU,FBS Independents
Steven Montac,South Carolina,SEC
Evan Butts,Virginia,ACC
Secdrick Cooper,Louisiana Tech,Conference USA
Steven Matlock,Idaho,Sun Belt
Jhonny Williams,Toledo,Mid-American
Doug Coman,Idaho,Sun Belt
Bradley Clement,Florida Atlantic,Conference USA
Benny Snell Jr.,Kentucky,SEC
Taurean Ferguson,Vanderbilt,SEC
Quan Jones,Baylor,Big 12
KaVontae Turpin,TCU,Big 12
Austin Rolfe,SMU,American Athletic
Dalvin Warmack,Kansas State,Big 12
Dallin Leavitt,Utah State,Mountain West
Sawyer Williams,Arkansas State,Sun Belt
Elcee Refuge,Kent State,Mid-American
Adoree' Jackson,USC,Pac-12
Joe Dineen Jr.,Kansas,Big 12
Marvell Tell III,USC,Pac-12
Aaron Mends,Iowa,Big Ten
Daniel Brown,Nevada,Mountain West
Tyler Fain,Charlotte,Conference USA
Dorian Walker,Georgia Tech,ACC
Anree Saint-Amour,Georgia Tech,ACC
Jeremy Clark,Michigan,Big Ten
Spencer Tears,Northern Illinois,Mid-American
Quay Mann,Duke,ACC
Ramsey Meyers,Kentucky,SEC
Jerome Smith,Georgia State,Sun Belt
Dante Lovilotte,UTEP,Conference USA
J.J. Green,Georgia Tech,ACC
Jake Hansen,Illinois,Big Ten
Devon Breaux,Tulane,American Athletic
Jack Linch,Toledo,Mid-American
Riley Ridley,Georgia,SEC
Alex McGough,Florida International,Conference USA
Riley McCarron,Iowa,Big Ten
Manase Hungalu,Oregon State,Pac-12
Mark Hall,Virginia,ACC
JaColbie Butler,UT San Antonio,Conference USA
Gerald Shouse,Louisiana Tech,Conference USA
Makoa Camanse-Stevens,Hawai'i,Mountain West
Tyree Turner,South Alabama,Sun Belt
Lamont Simmons,Georgia Tech,ACC
Grant Dawson,Wake Forest,ACC
Zach Allen,Boston College,ACC
Malcolm Lewis,Miami,ACC
Zach Sinor,Oklahoma State,Big 12
Boobie Hobbs,Utah,Pac-12
I'Tavius Mathers,Middle Tennessee,Conference USA
Ronald Nash,Iowa,Big Ten
Chacho Ulloa,Arizona,Pac-12
Tanner Carew,Oregon,Pac-12
Jordan Mitchell,Tulsa,American Athletic
Quay Johnson,East Carolina,American Athletic
EJ Muhammad,Nevada,Mountain West
Jay Irvine,Oregon State,Pac-12
Chris Barr,South Florida,American Athletic
Charmeachealle Moore,Kansas State,Big 12
Benning Potoa'e,Washington,Pac-12
Vic Enwere,California,Pac-12
Cam Serigne,Wake Forest,ACC
Keenen Johnson,Tulsa,American Athletic
Trae Collins,Southern Mississippi,Conference USA
Nico Marley,Tulane,American Athletic
Michael Rose-Ivey,Nebraska,Big Ten
Shaun Wilson,Duke,ACC
Tanner Blain,San Diego State,Mountain West
Jarred Craft,Louisiana Tech,Conference USA
LaKeith Walls,UNLV,Mountain West
Dillon Stoner,Oklahoma State,Big 12
Nick Haynes,Kentucky,SEC
Mason Hays,Texas State,Sun Belt
Fabiano Hale,California,Pac-12
Ukeme Eliqwe,Georgia Southern,Sun Belt
Darryl Randolph,Middle Tennessee,Conference USA
Daniel Imatorbhebhe,USC,Pac-12
Charles Akanno,Idaho,Sun Belt
Jamal Mayo,Hawai'i,Mountain West
Thomas Stuart,Boise State,Mountain West
Davon Godchaux,LSU,SEC
Leroy Godfrey,Houston,American Athletic
Ray Ray Smith,Ole Miss,SEC
Jonathan Giles,Texas Tech,Big 12
Jonathan Lockett,USC,Pac-12
DeAndre Thompkins,Penn State,Big Ten
Sam Craft,Memphis,American Athletic
Dan Mastromatteo,North Carolina,ACC
Ronald Peterkin,Georgia State,Sun Belt
Mike Jackson,Georgia Southern,Sun Belt
Justin McInnis,Arkansas State,Sun Belt
Tez Parks,Southern Mississippi,Conference USA
Jordan Sterns,Oklahoma State,Big 12
Arrion Springs,Oregon,Pac-12
Michael Gallup,Colorado State,Mountain West
Daniel Marx,Stanford,Pac-12
Kareem Hunt,Toledo,Mid-American
Martinas Rankin,Mississippi State,SEC
Tyshun Render,Middle Tennessee,Conference USA
Clifford Thomas,Arkansas State,Sun Belt
Cameron Van Winkle,Washington,Pac-12
Langston Newton,Purdue,Big Ten
" Team",Auburn,SEC
Charlie Callinan,Boston College,ACC
Zach Grant,Illinois,Big Ten
Tony Brown,Alabama,SEC
Adam McFain,Arkansas,SEC
Jay Henderson,San Diego State,Mountain West
Tim Kidd-Glass,NC State,ACC
Juwan Washington,San Diego State,Mountain West
Ted Taylor,Syracuse,ACC
C.J. Reavis,Marshall,Conference USA
Matt Lopes,USC,Pac-12
Van Jefferson,Ole Miss,SEC
Kimmie Carson,New Mexico,Mountain West
Malik Lovette,Oregon,Pac-12
Josh Harvey-Clemons,Louisville,ACC
Hayden Moore,Cincinnati,American Athletic
Greg Ward Jr.,Houston,American Athletic
TreVontae Hights,TCU,Big 12
Chauncey Scissum,Syracuse,ACC
Devin Ross,Colorado,Pac-12
Randall Smith,Tulsa,American Athletic
Josey Jewell,Iowa,Big Ten
Drew Eckels,Western Kentucky,Conference USA
Julian Hylton,Illinois,Big Ten
Foster Dixson,UTEP,Conference USA
Tarvarus McFadden,Florida State,ACC
John Voit,Army,FBS Independents
Dila Rosemond,Texas State,Sun Belt
Curtis Michael Williams,Virginia Tech,ACC
Caleb Saulo,Oregon State,Pac-12
Wallace Gonzalez,Utah,Pac-12
Luca Bruno,Arizona,Pac-12
Matthew Dayes,NC State,ACC
Ed Davis,Michigan State,Big Ten
Devin Ross,Colorado,Pac-12
Kyle Evans,Colorado,Pac-12
D.J. Brown,Northern Illinois,Mid-American
Chukwudi Chukwu,Ohio,Mid-American
Barry Sanders,Oklahoma State,Big 12
De'Quan McDowell,Oregon,Pac-12
Sean Carter,Old Dominion,Conference USA
Bryant Shirreffs,Connecticut,American Athletic
Dylan Scheurich,Louisiana,Sun Belt
Torry McTyer,UNLV,Mountain West
Zander Neuville,Wisconsin,Big Ten
Jerry Fitschen,Akron,Mid-American
Nick Meadows,West Virginia,Big 12
Jesse Washington,Air Force,Mountain West
Dillon Sterling-Cole,Arizona State,Pac-12
Austin Maloata,Oregon,Pac-12
Chris Love,East Carolina,American Athletic
Ben Edwards,Stanford,Pac-12
Delando Johnson,Toledo,Mid-American
Leonard Skubal,Boston College,ACC
Tion Green,Cincinnati,American Athletic
Quan Howard,Georgia Southern,Sun Belt
Danny Pinter,Ball State,Mid-American
Brian Whitaker,Ball State,Mid-American
Cameron Glenn,Wake Forest,ACC
Praise Martin-Oguike,Temple,American Athletic
Shawun Lurry,Northern Illinois,Mid-American
Kwanii Figueroa,Eastern Michigan,Mid-American
Drue Tranquill,Notre Dame,FBS Independents
Malin Jones,Louisville,ACC
Shun Brown,Arizona,Pac-12
Michael Garner,Idaho,Sun Belt
Demetrius Market,Southern Mississippi,Conference USA
Matt Nelson,Iowa,Big Ten
Davis Clark,Kansas State,Big 12
Elijah Riley,Army,FBS Independents
KiAnte Hardin,Minnesota,Big Ten
- Team,Washington,Pac-12
Josh Jacobs,Alabama,SEC
Devante Peete,Louisville,ACC
Tyquwan Glass,Fresno State,Mountain West
Khris Francis,North Carolina,ACC
Jaden Wright,New Mexico State,Sun Belt
Tristan Vizcaino,Washington,Pac-12
Dontavious Heard,Middle Tennessee,Conference USA
Tyquwan Glass,Fresno State,Mountain West
Seth Dawkins,Louisville,ACC
Sterling Stowers,Arkansas State,Sun Belt
Scott Miller,Bowling Green,Mid-American
Joe Schopper,Purdue,Big Ten
Keion Adams,Western Michigan,Mid-American
Mekhi Stevenson,UNLV,Mountain West
Squally Canada,BYU,FBS Independents
Micah Hannemann,BYU,FBS Independents
Azar Wilson,Middle Tennessee,Conference USA
Alvin Hill,Maryland,Big Ten
Danny Friend,Indiana,Big Ten
Jordan Davis,Louisiana,Sun Belt
Miles Boykin,Notre Dame,FBS Independents
Kolbi McGary,UTEP,Conference USA
Anthony Sherrils,Missouri,SEC
Eric Glover-Williams,Ohio State,Big Ten
Casey Sayles,Ohio,Mid-American
Octavius Spencer,UCLA,Pac-12
Brandon Dawkins,Arizona,Pac-12
Jaylon McClinton,Army,FBS Independents
Travis Seefeldt,Utah State,Mountain West
Lokeni Toailoa,UCLA,Pac-12
Myles Willis,Boston College,ACC
Nick Terry,UCLA,Pac-12
Richie James,Middle Tennessee,Conference USA
Shane Huber,UMass,FBS Independents
Darnell Woolfolk,Army,FBS Independents
Ben Dinucci,Pittsburgh,ACC
Connor Cella,Rice,Conference USA
Akeel Lynch,Nevada,Mountain West
Connor Haskins,NC State,ACC
Jarrett Burgess,Purdue,Big Ten
Jason Croom,Tennessee,SEC
Kylen Granson,Rice,Conference USA
Tau Lotulelei,UNLV,Mountain West
Kris Weatherspoon,Troy,Sun Belt
Eddy Wilson,Purdue,Big Ten
John Youngblood,Ole Miss,SEC
Josh Magee,South Alabama,Sun Belt
Isiah Willis,Georgia Tech,ACC
Nate Phillips,Arizona,Pac-12
Brad Tanner,Western Michigan,Mid-American
Gus Edwards,Miami,ACC
Daniel Talley,Colorado,Pac-12
Jesus Wilson,Florida State,ACC
Edgar Poe,Army,FBS Independents
Curtis Williams,Virginia Tech,ACC
Josh Cleveland,Bowling Green,Mid-American
Dan Mastromatteo,North Carolina,ACC
De'Andre Montgomery,Miami (OH),Mid-American
Breon Borders,Duke,ACC
Steven Claude,Wake Forest,ACC
Gage Murphy,Tulsa,American Athletic
A.J. Hotchkins,Oregon,Pac-12
Jordan Reid,Ohio,Mid-American
Gabriel McClary,Boston College,ACC
Cortez Broughton,Cincinnati,American Athletic
Dredrick Snelson,UCF,American Athletic
Sean Barton,Stanford,Pac-12
Arion Worthman,Air Force,Mountain West
Kyler Manu,Washington,Pac-12
Ryquell Armstead,Temple,American Athletic
John Trainor,Army,FBS Independents
Cody McGuire,Louisiana Monroe,Sun Belt
Tyler Stehling,Rice,Conference USA
Marcus Kelly,Northern Illinois,Mid-American
Jovante Moffatt,Middle Tennessee,Conference USA
Faith Ekakitie,Iowa,Big Ten
Joey Magnifico,Memphis,American Athletic
Mike Molina,West Virginia,Big 12
Evan O'Hara,Louisville,ACC
Michael Henry,Western Michigan,Mid-American
Myles Campbell,Georgia Southern,Sun Belt
Tre Tipton,Pittsburgh,ACC
Austin Gearing,Miami (OH),Mid-American
Howard Wilson,Houston,American Athletic
Darius Anderson,TCU,Big 12
Bryce Hall,Virginia,ACC
Jamal Peters,Mississippi State,SEC
Strong Jr. Kevin,UT San Antonio,Conference USA
Greg Taylor,Missouri,SEC
Sam Hubbard,Ohio State,Big Ten
John Baron II,San Diego State,Mountain West
Ben Tesson,Missouri,SEC
Derek Hastings,Utah State,Mountain West
Maurice Ffrench,Pittsburgh,ACC
Gemonta Jackson,Old Dominion,Conference USA
Donavan Hale,Indiana,Big Ten
Tion Green,Cincinnati,American Athletic
Kerryon Johnson,Auburn,SEC
Ryan Johnson,Tennessee,SEC
Tarvarius Moore,Southern Mississippi,Conference USA
Darius Harris,Middle Tennessee,Conference USA
Tommy Armstrong Jr.,Nebraska,Big Ten
Alex Rodriguez,Indiana,Big Ten
Marshawn Williams,Virginia Tech,ACC
Trevor Morris,Rutgers,Big Ten
Duke Shelley,Kansas State,Big 12
Rodrigo Blankenship,Georgia,SEC
Jordan Sterns,Oklahoma State,Big 12
Isaiah Harris,Kansas State,Big 12
Sam Beal,Western Michigan,Mid-American
Grant Niemiec,Miami (OH),Mid-American
Mike Boone,Cincinnati,American Athletic
Keon Howard,Southern Mississippi,Conference USA
Justin Green,Fresno State,Mountain West
Akeem Hutchinson,Ball State,Mid-American
Khaleke Hudson,Michigan,Big Ten
Randy Uzoma,Nevada,Mountain West
Michael Shaw,Georgia State,Sun Belt
Charles Dawson,UCLA,Pac-12
Jalen Myrick,Minnesota,Big Ten
Deshawn Baker-Williams,Central Michigan,Mid-American
Marcus Davenport,UT San Antonio,Conference USA
D.J. Sanders,Middle Tennessee,Conference USA
Armand Shyne,Utah,Pac-12
Kevin Cronin,Michigan State,Big Ten
Kareem Hunt,Toledo,Mid-American
Riley Ferguson,Memphis,American Athletic
Marcus Allen,Georgia Tech,ACC
Michael Armstrong,SMU,American Athletic
Bobby Baker,Georgia State,Sun Belt
Dante Barnett,Kansas State,Big 12
Jaymar Parrish,Pittsburgh,ACC
Kylie Fitts,Utah,Pac-12
Daryl Chestnut,New Mexico,Mountain West
Orion Prescott,UTEP,Conference USA
Parry Nickerson,Tulane,American Athletic
Isaiah Spencer,Southern Mississippi,Conference USA
Ricky Finco,Wisconsin,Big Ten
Dontez Ford,Pittsburgh,ACC
Corey Vereen,Tennessee,SEC
Clarence Guidry III,Texas State,Sun Belt
Ka'dar Hollman,Toledo,Mid-American
Brenden Motley,Virginia Tech,ACC
Jarvis Wilson,Georgia,SEC
Myles Reid,Miami (OH),Mid-American
Austin Guido,Western Michigan,Mid-American
Isaiah Johnson,Houston,American Athletic
Chris Garrison,Boston College,ACC
Deatrich Wise,Arkansas,SEC
Lawrence Austin,Georgia Tech,ACC
Jalen McCleskey,Oklahoma State,Big 12
Josh Augusta,Missouri,SEC
Shane Jones,Michigan State,Big Ten
Zach Abey,Navy,American Athletic
Eddie Vanderdoes,UCLA,Pac-12
Robert Priester,Wyoming,Mountain West
" Team",Tennessee,SEC
Dede Westbrook,Oklahoma,Big 12
Greg Joseph,Florida Atlantic,Conference USA
Brett Tonz,Colorado,Pac-12
Malik Staples,Louisville,ACC
Devan Demas,Boise State,Mountain West
Josh Jahlas,Iowa State,Big 12
CJ Dimry,Washington State,Pac-12
Ian Eriksen,Eastern Michigan,Mid-American
Simeon Thomas,Louisiana,Sun Belt
Deonte Wilson,Florida International,Conference USA
Ryan Kay,Troy,Sun Belt
Michael Hirsch,Michigan,Big Ten
Kavious Price,Kent State,Mid-American
Zack Moss,Utah,Pac-12
Mark Herndon,Florida,SEC
Ryan White,Vanderbilt,SEC
Jawon Hamilton,UCF,American Athletic
Javian Smith,Houston,American Athletic
Artez Williams,Louisiana,Sun Belt
Macan Wilson,Northwestern,Big Ten
Dacoven Bailey,Rutgers,Big Ten
Ryan Pulley,Arkansas,SEC
Ian Bunting,Michigan,Big Ten
Jalen Hurts,Alabama,SEC
Jalan McClendon,NC State,ACC
Jalen Sharp,Army,FBS Independents
Kam McKnight,Louisiana Tech,Conference USA
Amoreto Curraj,Marshall,Conference USA
Devan Demas,Boise State,Mountain West
Ian Patterson,Kansas State,Big 12
Connor Ketter,Nebraska,Big Ten
Will Watson,Bowling Green,Mid-American
Matt Galambos,Pittsburgh,ACC
Ryan Agnew,San Diego State,Mountain West
Tyler Ferguson,Western Kentucky,Conference USA
Trace McSorley,Penn State,Big Ten
Victor Bolden Jr.,Oregon State,Pac-12
Ben Steward,Bowling Green,Mid-American
Armond Hawkins,Idaho,Sun Belt
Joe Walker,Army,FBS Independents
Ben DeLuca,Charlotte,Conference USA
Blanton Creque,Louisville,ACC
Michael Egwuagu,UT San Antonio,Conference USA
Stacy Coley,Miami,ACC
Demetris Robertson,California,Pac-12
John Diarse,TCU,Big 12
Wilton Speight,Michigan,Big Ten
Jason Johnson,Western Kentucky,Conference USA
Jude Brenya,Old Dominion,Conference USA
Myles Washington,Kent State,Mid-American
B.J. Ross,Memphis,American Athletic
Westin Graves,Mississippi State,SEC
Jeremy McDuffie,Duke,ACC
Chris Laviano,Rutgers,Big Ten
Jamar Summers,Connecticut,American Athletic
Lee Crosby,New Mexico,Mountain West
Rodney Adams,South Florida,American Athletic
Kyle Ritz,Akron,Mid-American
Chris Nelson,Texas,Big 12
Joe Burrow,Ohio State,Big Ten
Rico Bussey Jr.,North Texas,Conference USA
LaDarius Hamilton,North Texas,Conference USA
Taylor Lamb,Appalachian State,Sun Belt
Jahad Thomas,Temple,American Athletic
Aaron Hepp,Ball State,Mid-American
Steven Sims Jr.,Kansas,Big 12
Kam Martin,Auburn,SEC
Ryquell Armstead,Temple,American Athletic
Jordan Fuller,Ohio State,Big Ten
Cory Morrow,Akron,Mid-American
Matt Breida,Georgia Southern,Sun Belt
Justen Hervey,Utah State,Mountain West
Michael Walker,Boston College,ACC
Mike Knoll,Boston College,ACC
Darrius Sapp,Georgia Southern,Sun Belt
Traveon Samuel,Louisville,ACC
Isaiah Saunders,Idaho,Sun Belt
Joey Burkett,Missouri,SEC
Drew Hare,Northern Illinois,Mid-American
Tom Flacco,Western Michigan,Mid-American
George Aston,Pittsburgh,ACC
Stephon Brown,Western Kentucky,Conference USA
Mike Caggiano,UMass,FBS Independents
Tyler Onda,Eastern Michigan,Mid-American
Ja'Vonn Harrison,Florida State,ACC
James Nachtigal,Army,FBS Independents
Andrew Williams,Auburn,SEC
Amani Oruwariye,Penn State,Big Ten
Jacobi Owens,Air Force,Mountain West
Dion Ray,Louisiana,Sun Belt
Alex Woodall,Louisiana Tech,Conference USA
Tyson Smith,Michigan State,Big Ten
Chase Litton,Marshall,Conference USA
Malik Jefferson,Texas,Big 12
Montrel Wilson,TCU,Big 12
LJ Scott,Louisville,ACC
Auggie Sanchez,South Florida,American Athletic
Finton Connolly,Arizona,Pac-12
Jackson Tyner,Rice,Conference USA
David Hood,Temple,American Athletic
Marlon Humphrey,Alabama,SEC
Myles Gaskin,Washington,Pac-12
DeAnte Ford,Kansas,Big 12
Jayd Kirby,Kansas State,Big 12
Charles Walker,Kentucky,SEC
Marlon Humphrey,Alabama,SEC
Terry Godwin,Georgia,SEC
Emmit Carpenter,Minnesota,Big Ten
Cory Young,Boise State,Mountain West
Anthony Jennings,Louisiana,Sun Belt
Cade Carney,Wake Forest,ACC
Kevin Bronson,South Florida,American Athletic
Dylan Singleton,Duke,ACC
Joe Brown,Western Kentucky,Conference USA
D'Nerius Antoine,Southern Mississippi,Conference USA
Cywettnie Brown,Ball State,Mid-American
Darik Dillard,Rice,Conference USA
Kiel Pollard,South Carolina,SEC
Malik Dunner,Ball State,Mid-American
Jeremiah Atoki,Temple,American Athletic
Cristian Williams,Tulsa,American Athletic
Levarious Varnado,Louisiana,Sun Belt
Josh Cleveland,Bowling Green,Mid-American
Keevan Lucas,Tulsa,American Athletic
P.J. Walker,Temple,American Athletic
Cole Thomas,Rice,Conference USA
Adley Rutschman,Oregon State,Pac-12
Cole Gautsche,New Mexico,Mountain West
Terence Stephens Jr.,Bowling Green,Mid-American
Jordan Wyatt,SMU,American Athletic
Brian Hill,Wyoming,Mountain West
Kylan Nelson,Ohio,Mid-American
Jalen Spencer,South Florida,American Athletic
Shane Buechele,Texas,Big 12
Chris Chugunov,West Virginia,Big 12
Christian Campbell,Penn State,Big Ten
Steven Sims Jr.,Kansas,Big 12
Tyler Bass,Georgia Southern,Sun Belt
Robert Ruiz,Colorado State,Mountain West
Richie Worship,Purdue,Big Ten
Tario Fuller,Purdue,Big Ten
Addison Gillam,Colorado,Pac-12
Britton Abbott,Oklahoma State,Big 12
James Smith-Williams,NC State,ACC
Joshua Jackson,Iowa,Big Ten
Micah Wilson,Missouri,SEC
Butch Hampton,Western Michigan,Mid-American
Courtney Miggins,Kentucky,SEC
Brennan Williams,Akron,Mid-American
Felton Davis III,Michigan State,Big Ten
Corey Bojorquez,New Mexico,Mountain West
Nate Locke,Bowling Green,Mid-American
Alvin Cornelius,Syracuse,ACC
James Williams,Washington State,Pac-12
Devonte Fields,Louisville,ACC
Parker Hesse,Iowa,Big Ten
A.J. Alexander,Ohio State,Big Ten
Ricky Seals-Jones,Texas A&M,SEC
Taurean Ferguson,Vanderbilt,SEC
Quinton Flowers,South Florida,American Athletic
Jalen Reeves-Maybin,Tennessee,SEC
Rodjay Burns,Ohio State,Big Ten
Sheldrick Redwine,Miami,ACC
Terence Williams,Baylor,Big 12
Dominick Sanders,Georgia,SEC
Kavika Johnson,UTEP,Conference USA
Chris Calhoun,Wake Forest,ACC
Marcus Cox,Appalachian State,Sun Belt
DaiShon Neal,Nebraska,Big Ten
Terry Swanson,Toledo,Mid-American
Anthony Hawkins,Colorado State,Mountain West
Sean Brown,South Alabama,Sun Belt
Spencer Lindsay,Nebraska,Big Ten
Donte Vaughn,Notre Dame,FBS Independents
Chad President,Tulsa,American Athletic
Josiah Price,Michigan State,Big Ten
Tyler Huntley,Utah,Pac-12
Breck Turner,Eastern Michigan,Mid-American
Marcus Manley,California,Pac-12
Fred Ross,Mississippi State,SEC
Trayveon Williams,Texas A&M,SEC
Stratton Brown,Fresno State,Mountain West
" Team",Oklahoma State,Big 12
Terence Stephens Jr.,Bowling Green,Mid-American
Aaron Peck,Fresno State,Mountain West
Spencer McInnis,Miami (OH),Mid-American
Alex Turner,East Carolina,American Athletic
Blessuan Austin,Rutgers,Big Ten
Devine Ozigbo,Nebraska,Big Ten
Dylan Haines,Texas,Big 12
Duke Catalon,Houston,American Athletic
Lamar Jordan,New Mexico,Mountain West
Kaleb Fossum,Washington State,Pac-12
Daniel Wise,Kansas,Big 12
Omaine Stephens,Connecticut,American Athletic
Ezra Saffold,Northern Illinois,Mid-American
Ruben Garnett,Middle Tennessee,Conference USA
Papi White,Ohio,Mid-American
Jonathan Tuiolosega,UT San Antonio,Conference USA
Luc Bequette,California,Pac-12
Marcellus Pippins,Washington State,Pac-12
Ke'Shawn Vaughn,Illinois,Big Ten
Marcus Williams,Utah,Pac-12
Jamie Gordinier,Miami,ACC
Tyre'oune Holmes,Southern Mississippi,Conference USA
Gavin Locklear,NC State,ACC
Demetrius Flannigan-Fowles,Arizona,Pac-12
Tui Maloata,UNLV,Mountain West
Eric Assoua,Western Michigan,Mid-American
Anfernee Jennings,Alabama,SEC
Deebo Samuel,South Carolina,SEC
Thai Cottrell,San José State,Mountain West
J.D. Mote,Army,FBS Independents
Madigan Taulelei,Washington State,Pac-12
Meiko Dotson,Georgia Tech,ACC
Charles Harris,Buffalo,Mid-American
David Blough,Purdue,Big Ten
Matthew Wright,UCF,American Athletic
Jerod Evans,Virginia Tech,ACC
" Team",Ball State,Mid-American
Kobie Walker,Kentucky,SEC
Shawn Boone,NC State,ACC
Quentin Poling,Ohio,Mid-American
Skyler Simcox,Western Kentucky,Conference USA
Najee Murray,Kent State,Mid-American
Nick Vitale,Connecticut,American Athletic
Tim Hough,UNLV,Mountain West
A.J. Natter,Nebraska,Big Ten
Johnny Huntley III,Colorado,Pac-12
Quintin Wirginis,Pittsburgh,ACC
DeJuan Rogers,Toledo,Mid-American
Cedrick Wilson,Boise State,Mountain West
Tristan Cooper,Tulane,American Athletic
Lucas Cherocci,Western Michigan,Mid-American
Brandon Mayes,Northern Illinois,Mid-American
Denzel Jones Jr.,Akron,Mid-American
Ford Corbett,Rice,Conference USA
Khari Vanderbilt,California,Pac-12
Anthony Lotti,Wisconsin,Big Ten
Jacob Thieneman,Purdue,Big Ten
Dishan Romine,Navy,American Athletic
Ira Lewis,Baylor,Big 12
Marlon Humphrey,Alabama,SEC
Randall West,UMass,FBS Independents
Carter Stanley,Kansas,Big 12
Desmond Phillips,Toledo,Mid-American
L.A. Ramsby,Georgia Southern,Sun Belt
Lamar Robbins,South Florida,American Athletic
Clay Holford,Eastern Michigan,Mid-American
" Team",Mississippi State,SEC
Kalen Ballage,Arizona State,Pac-12
Chad Miller,San José State,Mountain West
Rojesterman Farris II,Hawai'i,Mountain West
Jack Driscoll,UMass,FBS Independents
Steven Parker,Oklahoma,Big 12
Azar Wilson,Middle Tennessee,Conference USA
Dontravious Wilson,UCF,American Athletic
Craig Scott,Navy,American Athletic
Zech McPhearson,Penn State,Big Ten
" Team",Vanderbilt,SEC
Jordan Williams,Baylor,Big 12
Rashad Fenton,South Carolina,SEC
Daniel Marx,Stanford,Pac-12
Jalen Thompson,South Alabama,Sun Belt
Ervin Philips,Syracuse,ACC
Matt Haack,Arizona State,Pac-12
Jerod Boykins,UCF,American Athletic
Jayshawn Jordan,Idaho,Sun Belt
Tre Watson,Illinois,Big Ten
Kenny Hill,TCU,Big 12
Cordrea Tankersley,Clemson,ACC
Sam Rogers,Virginia Tech,ACC
Lorenzo Harrison III,Maryland,Big Ten
Alijah Lee,Washington State,Pac-12
Jamal Jeffery,Texas A&M,SEC
David Hood,Temple,American Athletic
Jordan Glasgow,Michigan,Big Ten
Deon Stewart,Arkansas,SEC
Robby Wells III,Rice,Conference USA
Donaven Tennyson,Vanderbilt,SEC
Raymond Davison III,California,Pac-12
Demarcus Godfrey,Georgia Southern,Sun Belt
Ed Alexander,LSU,SEC
Jameel Spencer,Georgia State,Sun Belt
James Bynes,South Alabama,Sun Belt
A.D. Miller,Oklahoma,Big 12
D'Andre Ferby,Western Kentucky,Conference USA
Trevor Morris,Rutgers,Big Ten
Joseph Jones,Northwestern,Big Ten
Bailey Gaither,San José State,Mountain West
Dwayne Stanford,Oregon,Pac-12
Tim Settle,Virginia Tech,ACC
Willie Harvey,Iowa State,Big 12
Alex Kelley,Colorado,Pac-12
Elijah Riley,Army,FBS Independents
Nate Mullen,Charlotte,Conference USA
Jaquil Capel,Appalachian State,Sun Belt
Derek Dowrey,Penn State,Big Ten
Devontre'a Tyler,Marshall,Conference USA
Will Matthews,Kent State,Mid-American
Mario Osborne,Louisiana,Sun Belt
Jake Thompson,Utah State,Mountain West
Victor Bolden Jr.,Oregon State,Pac-12
Justin Shanks,Florida State,ACC
Pat Bethel,Miami,ACC
Mike Boone,Cincinnati,American Athletic
Devon Breaux,Tulane,American Athletic
Justice Davila,Old Dominion,Conference USA
Trayvon Henderson,Hawai'i,Mountain West
Bart Houston,Wisconsin,Big Ten
Kerryon Johnson,Auburn,SEC
Shelton Gibson,West Virginia,Big 12
Lamont Simmons,Georgia Tech,ACC
Brennan Williams,Akron,Mid-American
Wade Lees,Maryland,Big Ten
Louie Zervos,Ohio,Mid-American
Ryan Eustace,Arkansas State,Sun Belt
Antonio Callaway,Florida,SEC
Chase Dominguez,Utah,Pac-12
Keion Davis,Marshall,Conference USA
David Montgomery,Iowa State,Big 12
Tyler Huntley,Utah,Pac-12
Jeremiah Jackson,Ball State,Mid-American
Warren Ball,Akron,Mid-American
Jonathan Smith,North Carolina,ACC
Zach Pascal,Old Dominion,Conference USA
Griffin Grady,Wisconsin,Big Ten
Nick Coleman,Notre Dame,FBS Independents
C.J. Johnson,Wyoming,Mountain West
Gabriel McClary,Boston College,ACC
Andrew Tucker,North Texas,Conference USA
Troy Lewis,Colorado,Pac-12
Lamar Jackson,Louisville,ACC
Nate Meadors,UCLA,Pac-12
Darrell Songy,South Alabama,Sun Belt
