player,team,conference
Nick Dowd,Miami (OH),Mid-American
Gavin Graham,Texas State,Sun Belt
James Quick,Louisville,ACC
Jelani Carter,Old Dominion,Conference USA
Brian Lemelle,Connecticut,American Athletic
Michael Minter,Middle Tennessee,Conference USA
Dalton Sneed,UNLV,Mountain West
Jay MacIntyre,Colorado,Pac-12
Anu Somoye,New Mexico,Mountain West
Ahmmon Richards,Miami,ACC
Jeremy Reaves,South Alabama,Sun Belt
Cole Hunt,TCU,Big 12
Riley McCarron,Iowa,Big Ten
Isaiah Wright,Temple,American Athletic
Justin Rogers,UTEP,Conference USA
Connor O'Brien,Washington,Pac-12
Ashton Shumpert,Mississippi State,SEC
Luke Del Rio,Florida,SEC
Demetrius Cooper,Michigan State,Big Ten
Jason King,Purdue,Big Ten
Deebo Samuel,South Carolina,SEC
Cameron Bryant,Navy,American Athletic
Doni Dowling,Virginia,ACC
Niles Clark,NC State,ACC
Ty Lee,Middle Tennessee,Conference USA
Richard Lagow,Indiana,Big Ten
Wilfred Wahee,Virginia,ACC
Lloyd Hightower,Idaho,Sun Belt
Jelani Hamilton,Akron,Mid-American
A.J. Taylor,Wisconsin,Big Ten
Colin Jeter,LSU,SEC
Tanner Gentry,Wyoming,Mountain West
Andy Branch,Central Michigan,Mid-American
Ryan Green,Florida State,ACC
Sam Hayward,Virginia,ACC
Malik Hawkins,Middle Tennessee,Conference USA
Tony Brown,Alabama,SEC
Nate Godwin,South Florida,American Athletic
Elijah St. Hilaire,Army,FBS Independents
Demario Richard,Arizona State,Pac-12
John Thompson,Washington State,Pac-12
ArDarius Stewart,Alabama,SEC
Sony Michel,Georgia,SEC
Keandre Jones,Ohio State,Big Ten
Nate Howard,Missouri,SEC
Seth Damrow,UT San Antonio,Conference USA
Justin Jackson,Northwestern,Big Ten
Khari Blasingame,Vanderbilt,SEC
Jake Elliott,Memphis,American Athletic
Justin Tranquill,Western Michigan,Mid-American
Alameen Murphy,Stanford,Pac-12
Jack English,Virginia,ACC
Kahlil Lewis,Cincinnati,American Athletic
Curtis Mikell,Southern Mississippi,Conference USA
JaMarcus King,South Carolina,SEC
Matt Johnson,Charlotte,Conference USA
Aeris Williams,Mississippi State,SEC
Aaron Jones,UTEP,Conference USA
Zach Grant,Illinois,Big Ten
Kingston Fernandez,Washington State,Pac-12
Kevin Ogwu,Utah State,Mountain West
Carter Stanley,Kansas,Big 12
Warren Redix,UTEP,Conference USA
Darius Mosely,Illinois,Big Ten
C.J. Duncan,Vanderbilt,SEC
Jeremy Sangster,Southern Mississippi,Conference USA
Dontez Ford,Pittsburgh,ACC
Latevius Rayford,Vanderbilt,SEC
Alonzo Smith,Miami (OH),Mid-American
Cameron Griffin,UCLA,Pac-12
