player,team,conference
Jeffrey Gunter,Coastal Carolina,Sun Belt
Will Trawick,Air Force,Mountain West
Chatarius Atwell,Louisville,ACC
Larry Brooks,Tulane,American Athletic
Holton Ahlers,East Carolina,American Athletic
Anthony Goodlow,Tulsa,American Athletic
Calvin Austin III,Memphis,American Athletic
Calvin Hill,Texas State,Sun Belt
Kane Taylor,Florida International,Conference USA
Chris Mills,Missouri,SEC
Jamar Johnson,Indiana,Big Ten
Sam Crawford Jr.,Tulsa,American Athletic
Damian Jackson,Nebraska,Big Ten
Jeff Hubbard,Eastern Michigan,Mid-American
Gavin Meyer,Wyoming,Mountain West
Sean Dollars,Oregon,Pac-12
Kobie Campbell,Rice,Conference USA
DJ Dale,Alabama,SEC
Naricuss Driver,Southern Mississippi,Conference USA
Jordan Adeyemi-John,Oregon,Pac-12
Tariq Castro-Fields,Penn State,Big Ten
Noah Johnson,South Florida,American Athletic
Tre' Allen,Georgia Southern,Sun Belt
Peytton Pickett,Liberty,FBS Independents
Elery Alexander,Arkansas State,Sun Belt
Miles Reed,Hawai'i,Mountain West
Jack Fagot,Louisville,ACC
Matt Coghlin,Michigan State,Big Ten
Jace Christmann,Mississippi State,SEC
Max Borghi,Washington State,Pac-12
Jordan Domineck,Georgia Tech,ACC
Jamal Camp,Georgia Tech,ACC
Jalen Mitchell,Louisville,ACC
Tim Terry Jr.,Buffalo,Mid-American
Chukwudifu Ogbonna,Akron,Mid-American
Benny McCray,Florida International,Conference USA
Amare Jones,Tulane,American Athletic
Kawaan Baker,South Alabama,Sun Belt
Payne Durham,Purdue,Big Ten
British Brooks,North Carolina,ACC
Andrew Erickson,New Mexico,Mountain West
Ryan McClain,Akron,Mid-American
Walker Baty,UT San Antonio,Conference USA
Matt Alaimo,Rutgers,Big Ten
Segun Olubi,San Diego State,Mountain West
Jay Ward,LSU,SEC
Cameron Rising,Utah,Pac-12
Max Tooley,BYU,FBS Independents
Dominique Hampton,Washington,Pac-12
Nalu Emerson,Hawai'i,Mountain West
Anthony Enechukwu,Western Michigan,Mid-American
Richard LeCounte III,Georgia,SEC
Ja'Khi Douglas,Florida State,ACC
Marquavius Weaver,Memphis,American Athletic
D'Angelo Amos,Virginia,ACC
Michael Dixon,Minnesota,Big Ten
Marvin Grant,Purdue,Big Ten
Caleb Huntley,Ball State,Mid-American
Ira Armstead,Virginia,ACC
" ",Oregon State,Pac-12
Gunner Cruz,Washington State,Pac-12
Payton Wilson,NC State,ACC
Christian Sims,Bowling Green,Mid-American
Baden Pinson,Coastal Carolina,Sun Belt
Bryquice Brown,Georgia State,Sun Belt
Kalil Pimpleton,Central Michigan,Mid-American
Sincere Brown,South Florida,American Athletic
Christian Morgan,Baylor,Big 12
Terell Smith,Minnesota,Big Ten
Houston Griffith,Notre Dame,FBS Independents
Blake Proehl,East Carolina,American Athletic
Howard Cross III,Notre Dame,FBS Independents
Logan Klemp,Iowa,Big Ten
Cesar Silva,Fresno State,Mountain West
Jermar Jefferson,Oregon State,Pac-12
Earl Barquet,TCU,Big 12
Kamari Pleasant,Washington,Pac-12
Mike Fallon,UMass,FBS Independents
Cody Anderson,Oregon State,Pac-12
Darius Stills,West Virginia,Big 12
Marcus Valdez,Boston College,ACC
Tyler Burns,Kansas State,Big 12
Ta'Quon Graham,Texas,Big 12
Jeremiah Doss,Colorado,Pac-12
Charles Coleman III,South Alabama,Sun Belt
Michael LoVett III,New Mexico,Mountain West
Brock Walker,Minnesota,Big Ten
Dahu Green,Arkansas State,Sun Belt
Anthony Butler,Liberty,FBS Independents
Mekhi LaPointe,South Florida,American Athletic
Antavious Willis,Southern Mississippi,Conference USA
Mark Gilbert,Duke,ACC
Gurvan Hall Jr.,Miami,ACC
Miles Brooks,Georgia Tech,ACC
Derrick Bush,Coastal Carolina,Sun Belt
Latrell Williams,South Florida,American Athletic
Bobby Bell,Louisiana Monroe,Sun Belt
Wayne Taulapapa,Virginia,ACC
Elijah Green,North Carolina,ACC
