player_id,i_id,Player
271,1228,Spencer Drango
314,1228,Jimmy Landes
321,1228,Rico Gathers
607,1228,Kyle Fuller
948,1228,Jalen Hurd
1199,1228,Denzel Mims
1272,1228,James Lynch
1328,1228,Bravvion Roy
1379,1228,Clay Johnston
117,10771,Ryan Kelly
141,10771,Reggie Ragland
145,10771,Derrick Henry
146,10771,A'Shawn Robinson
149,10771,Jarran Reed
160,10771,Cyrus Jones
174,10771,Kenyan Drake
374,10771,Marlon Humphrey
375,10771,Jonathan Allen
377,10771,O.J. Howard
389,10771,Reuben Foster
393,10771,Cam Robinson
408,10771,Ryan Anderson
414,10771,Dalvin Tomlinson
438,10771,Tim Williams
439,10771,ArDarius Stewart
473,10771,Eddie Jackson
628,10771,Minkah Fitzpatrick
630,10771,Daron Payne
639,10771,Rashaan Evans
643,10771,Calvin Ridley
712,10771,Ronnie Harrison
734,10771,Da'Shawn Hand
738,10771,Anthony Averett
793,10771,JK Scott
819,10771,Shaun Dion Hamilton
837,10771,Bradley Bozeman
859,10771,Bo Scarbrough
869,10771,Joshua Frazier
882,10771,Quinnen Williams
890,10771,Jonah Williams
903,10771,Josh Jacobs
930,10771,Irv Smith Jr.
968,10771,Damien Harris
997,10771,Christian Miller
1022,10771,Deionte Thompson
1036,10771,Ross Pierschbacher
1038,10771,Mack Wilson
1076,10771,Isaiah Buggs
1144,10771,Tua Tagovailoa
1149,10771,Jedrick Wills Jr.
1151,10771,Henry Ruggs III
1154,10771,Jerry Jeudy
1176,10771,Xavier McKinney
1191,10771,Trevon Diggs
1196,10771,Raekwon Davis
1225,10771,Terrell Lewis
1228,10771,Anfernee Jennings
118,2527,Shaq Lawson
133,2527,Kevin Dodd
154,2527,Mackensie Alexander
157,2527,T.J. Green
211,2527,B.J. Goodson
269,2527,D.J. Reader
346,2527,Charone Peake
349,2527,Jayron Kearse
352,2527,Zac Brooks
365,2527,Mike Williams
370,2527,Deshaun Watson
457,2527,Cordrea Tankersley
501,2527,Wayne Gallman
503,2527,Carlos Watkins
512,2527,Jordan Leggett
719,2527,Dorian O'Daniel
807,2527,Deon Cain
809,2527,Ray-Ray McCloud
883,2527,Clelin Ferrell
892,2527,Christian Wilkins
896,2527,Dexter Lawrence
920,2527,Trayvon Mullen
999,2527,Austin Bryant
1032,2527,Hunter Renfrow
1147,2527,Isaiah Simmons
1155,2527,AJ Terrell
1173,2527,Tee Higgins
1241,2527,Tanner Muse
1251,2527,John Simpson
1269,2527,K'Von Wallace
1395,2527,Tremayne Anchrum
121,10559,Josh Doctson
231,10559,Derrick Kindred
267,10559,Halapoulivaati Vaitai
296,10559,Kolby Listenbee
319,10559,Joey Hunt
591,10559,Josh Carraway
708,10559,Joseph Noteboom
828,10559,Matt Pryor
854,10559,Travin Howard
908,10559,L.J. Collier
