i_id,wranking,nranking,year
2490,201,3,2020
2490,201,3,2019
2490,201,3,2018
2490,201,3,2017
2490,201,2,2016
2491,401,117,2019
2491,401,118,2018
2491,401,120,2017
2491,401,120,2016
2510,901,193,2019
2518,201,9,2020
2518,201,10,2019
2518,201,9,2018
2518,201,10,2017
2518,201,10,2016
2527,501,134,2020
2527,401,117,2019
2643,901,191,2020
2643,801,182,2019
2672,601,155,2020
2672,601,156,2019
2676,201,66,2020
2676,201,67,2019
2676,201,70,2018
2676,201,71,2017
2676,201,72,2016
2705,7,6,2020
2705,8,6,2019
2705,8,6,2018
2705,8,6,2017
2705,9,7,2016
2714,601,1,2020
2714,801,1,2019
2739,201,2,2020
2739,201,2,2019
2739,201,2,2018
2739,301,4,2017
2739,301,4,2016
2779,601,21,2020
2779,801,26,2019
2779,401,18,2017
2822,801,6,2020
2822,701,6,2019
2832,12,10,2020
2832,13,11,2019
2832,12,10,2018
2832,14,12,2017
2832,13,11,2016
2878,901,60,2020
2928,201,9,2020
2928,201,9,2019
2928,151,9,2018
2928,151,9,2017
2928,201,9,2016
2939,701,4,2020
2939,701,4,2019
2940,801,5,2020
2940,901,6,2019
3057,201,10,2020
3057,201,10,2019
3057,301,13,2018
3057,301,12,2017
3057,301,14,2016
3058,901,121,2019
3059,901,132,2020
3060,201,23,2020
3060,201,18,2019
3060,201,13,2018
3060,301,19,2017
3060,301,19,2016
3081,201,66,2020
3081,301,95,2019
3081,201,70,2018
3081,201,71,2017
3081,201,72,2016
3161,201,9,2020
3161,201,9,2019
3161,201,10,2018
3161,201,11,2017
3161,201,9,2016
3188,151,8,2020
3188,151,8,2019
3188,151,9,2018
3188,151,9,2017
3188,151,9,2016
3249,701,4,2020
3249,701,2,2019
3263,801,25,2020
3263,801,27,2019
3265,501,72,2020
3265,501,59,2019
3265,401,32,2016
3284,301,95,2020
3284,301,95,2019
3284,301,96,2018
3284,201,71,2017
3284,201,72,2016
3292,27,19,2020
3292,28,20,2019
3292,26,19,2018
3292,26,20,2017
3292,25,19,2016
3293,801,3,2020
3299,201,21,2020
3299,201,22,2019
3299,201,22,2018
3299,201,21,2017
3299,201,22,2016
3386,301,14,2019
3386,301,15,2018
3386,301,15,2017
3386,301,14,2016
3390,20,1,2020
3416,901,191,2020
3416,701,172,2019
3420,401,50,2020
3420,501,59,2019
3420,401,36,2018
3420,401,34,2017
3421,301,33,2020
3421,301,28,2019
3421,301,24,2018
3421,301,19,2017
3421,301,19,2016
3471,901,33,2019
3472,301,13,2020
3472,301,14,2019
3472,301,15,2018
3472,201,10,2017
3472,301,14,2016
3473,79,3,2019
