,institution
141,ALLIANCE TRACTOR TRAILER TRAINING CENTER
142,ALLIED BUSINESS SCHOOLS
143,ALLIED HEALTH PROGRAM IN ORTHOPTICS AND OPHTHALMIC
144,ALLSTATE BARBER AND HAIRSTYLING COLLEGE
145,ALPENAS HOLLYWOOD SCHOOL OF BEAUTY INC
146,ALPHA BEAUTY SCHOOL
147,ALPHA COLLEGE OF REAL ESTATE
148,ALTAMORE SCHOOL OF COSMETOLOGY INC
149,ALTOONA HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY
150,ALTOONA SCHOOL OF COMMERCE
151,ALVERNIA SCHOOL OF PRACTICAL NURSING
152,AMARI INSTITUTE INC
153,AMASIA COLLEGE
154,AMBASSADOR BEAUTY COLLEGE
155,AMBASSADOR INSTITUTE OF TRAVEL
156,AMBERS BEAUTY SCHOOL WEST
157,AMERICA JEWELERS INSTITUTE
158,AMERICAN ACADEMY OF HYPNOSIS
159,AMERICAN ACADEMY OF NUTRITION-COLLEGE OF NUTRITION
160,AMERICAN ACADEMY OF TRAVEL AGENT TRAINING
161,AMERICAN ACADEMY OF TRAVEL CAREERS
162,AMERICAN AERODYNE SERVICES LLC
163,AMERICAN AIRLINES TRAVEL ACADEMY
164,AMERICAN ALLIANCE ACADEMY OF LANGUAGES
165,AMERICAN AUTO INSTITUTE
166,AMERICAN BARBER COLLEGE
167,AMERICAN BARTENDERS SCHOOL
168,AMERICAN BARTENDING SCHOOL
169,AMERICAN BEAUTY COLLEGE
170,AMERICAN BIBLE COLLEGE
171,AMERICAN BUSINESS COLLEGE
172,AMERICAN CENTER FOR CAREER TRAINING
173,AMERICAN CHRISTIAN COLLEGE AND SEMINARY
174,AMERICAN CHRISTIAN SCHOOLS OF RELIGION
175,AMERICAN COLLEGE FOR COMPUTER AND INFORMATION SCI
176,AMERICAN COLLEGE OF BEAUTY CULTURE
177,AMERICAN COLLEGE OF BUSINESS
178,AMERICAN COLLEGE OF HEALTH SCIENCES
179,AMERICAN COLLEGE OF LAW
180,AMERICAN COLLEGE OF METAPHYSICAL THEOLOGY
181,AMERICAN COLLEGE OF PROFESSIONAL EDUCATION
182,AMERICAN COMMUNICATIONS INSTITUTE
183,AMERICAN DETECTIVE AND TECHNOLOGY ACADEMY INC
184,AMERICAN DRIVER TRAINING ACADEMY INC
185,AMERICAN EXPRESS TRAVEL ONE SCHOOL
186,AMERICAN EXPRESS TRAVEL SCHOOL
187,AMERICAN FLORAL ART SCHOOL
188,AMERICAN FLYERS
189,AMERICAN GRADUATE UNIVERSITY
190,AMERICAN HEALTH INFORMATION MANAGEMENT ASSOCIATION
191,AMERICAN HEALTH SCIENCE UNIV & NAT INST OF NUTR ED
192,AMERICAN INSPECTORS INSTITUTE
193,AMERICAN INST OF ELECTROLOGY INC DBA FOR 22 INC
194,AMERICAN INSTITUTE FOR PARALEGAL STUDIES INC
195,AMERICAN INSTITUTE OF APPLIED SCIENCE
196,AMERICAN INSTITUTE OF DIAMOND CUTTING INC
197,AMERICAN INSTITUTE OF HYPNOTHERAPY
198,AMERICAN INSTITUTE OF INTERIOR DESIGN
199,AMERICAN INSTITUTE OF MASSAGE THERAPY INC
200,AMERICAN ISLAMIC COLLEGE
201,AMERICAN LOCKSMITH INSTITUTE OF NEVADA
202,AMERICAN M & N UNIVERSITY
203,AMERICAN MEDICAL CAREER TRAINING CENTER
204,AMERICAN NANNY COLLEGE
205,AMERICAN PACIFIC COLLEGE
206,AMERICAN PROFESSIONAL BARTENDING SCHOOL
207,AMERICAN REAL ESTATE ACADEMY
208,AMERICAN REAL ESTATE AND APPRAISING INSTITUTE
209,AMERICAN REAL ESTATE INSTITUTE INC
210,AMERICAN REAL ESTATE SCHOOL
211,AMERICAN RED CROSS BREVARD COUNTY CHAPTER
212,AMERICAN SCHOOL
213,AMERICAN SCHOOL OF DOG GROOMING
214,AMERICAN SCHOOL OF FLORAL AND PLANT DESIGN
215,AMERICAN SCHOOL OF MORTGAGE BANKING
216,AMERICAN SCHOOL OF XRAY
217,AMERICAN TRADE AND BUSINESS SCHOOL
218,AMERICAN TRAINING INSTITUTE
219,AMERICAN TRAVEL EDUCATORS INC
220,AMERICAN TRAVEL TRAINING CENTER
221,AMERICAN TRUCK DRIVING OF MICHIGAN
222,AMERICAN WELD TESTING SCHOOL
223,AMERITECH COLLEGES
224,ANDERSON AREA MEDICAL CENTER SCHOOL OF RAD TECHN
225,ANDERSON COUNTY BEAUTY COLLEGE
226,ANDREW JACKSON UNIVERSITY
227,ANN ARBOR INSTITUTE OF MASSAGE THERAPY
