,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
25,Fortis Institute,Houston,77060,,,8441507.0,8428057.0,5907408.0,,8428057.0,8441507.0,581.0,1.0,3.0,129.0,240.0,39.0,0.0,168.0,1.0,13.0,18.0,41.0,49.0,
26,ITT Technical Institute�DeSoto,DeSoto,75115,,,2814780.0,2814780.0,1873495.0,,2814780.0,2810686.0,210.0,0.0,0.0,124.0,38.0,37.0,0.0,11.0,0.0,4.0,24.0,27.0,48.0,191206.0
27,Salon & Spa Institute,Brownsville,78521,,,208475.0,208475.0,-243622.0,,847050.0,847050.0,170.0,0.0,0.0,0.0,161.0,7.0,0.0,2.0,0.0,,,,,
28,ABC Beauty Academy,Garland,75042,,,133527.0,133527.0,91902.0,,133610.0,133610.0,23.0,0.0,18.0,3.0,0.0,2.0,0.0,0.0,0.0,,,,,
29,Lawyer's Assistant School of Dallas,Dallas,75206,,,411606.0,411606.0,106466.0,,411606.0,411606.0,35.0,0.0,1.0,20.0,9.0,5.0,0.0,0.0,0.0,,,,,
30,The Art Institute of San Antonio,San Antonio,78230,,,5848716.0,5741599.0,3309234.0,,6207824.0,6156589.0,185.0,0.0,2.0,12.0,94.0,62.0,5.0,10.0,0.0,,,,,80053.0
31,Strayer University-Texas,Austin,78759,,,1654473.0,1654473.0,1161081.0,,1654473.0,1495459.0,320.0,2.0,9.0,163.0,24.0,84.0,25.0,13.0,0.0,,,,,755618.0
32,Kaplan College-San Antonio,San Antonio,78283,,,,,,,,,,,,,,,,,,,,,,
33,Kaplan College-Arlington,Arlington,76010,,,5712890.0,5710890.0,3672625.0,,5710890.0,5565745.0,511.0,4.0,13.0,211.0,122.0,122.0,18.0,21.0,0.0,,,,,83456.0
34,MedVance Institute-Grand Prairie,Grand Prairie,75050,,,6372911.0,6370411.0,4236927.0,,6370411.0,6372911.0,298.0,1.0,10.0,85.0,95.0,83.0,7.0,15.0,2.0,,,,,
35,Fortis Institute-Grand Prairie,Grand Prairie,75050,,,5417599.0,5388147.0,3400075.0,,5388147.0,5417599.0,479.0,5.0,12.0,162.0,184.0,106.0,7.0,3.0,0.0,7.0,34.0,40.0,45.0,
36,The Salon Professional Academy-Lewisville,Lewisville,75067,,,793736.0,768236.0,501830.0,,1559261.0,1584761.0,111.0,0.0,3.0,6.0,9.0,88.0,4.0,1.0,0.0,3.0,7.0,11.0,14.0,
37,Corpus Christi Beauty Academy,Corpus Christi,78412,,,9769.0,9769.0,-129367.0,,28073.0,167209.0,30.0,0.0,0.0,2.0,17.0,11.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0,
38,Avenue Five Institute,Austin,78757,,,2723069.0,2723069.0,1903210.0,,3151956.0,3153236.0,209.0,0.0,1.0,10.0,21.0,131.0,0.0,46.0,0.0,,,,,
39,Texas Beauty College,Haltom City,76117,,,375207.0,375207.0,194577.0,,399607.0,218977.0,138.0,1.0,100.0,8.0,14.0,3.0,0.0,3.0,9.0,2.0,3.0,5.0,8.0,
40,Advanced Beauty College,Irving,75061,,,178205.0,157305.0,63792.0,20900.0,184489.0,319802.0,83.0,0.0,17.0,1.0,26.0,3.0,0.0,0.0,36.0,,,,,
41,DuVall's School of Cosmetology,Bedford,76021,,,985669.0,985669.0,617504.0,,1589969.0,1590418.0,110.0,0.0,0.0,8.0,7.0,95.0,0.0,0.0,0.0,,,,,
42,Cardiotech Ultrasound School,Houston,77099,,,249682.0,230530.0,105689.0,,251457.0,232305.0,56.0,0.0,20.0,12.0,6.0,12.0,0.0,5.0,1.0,,,,,
43,Cannon Institute of Higher Learning,Dallas,75247,,,103500.0,103500.0,0.0,,103500.0,103500.0,10.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,,
44,Professional Career Training Institute,Houston,77090,,,1083458.0,1083458.0,538725.0,,1083458.0,810783.0,81.0,0.0,4.0,53.0,16.0,8.0,0.0,0.0,0.0,,,,,
45,South Texas Vocational Technical Institute,Corpus Christi,78416,,,8922212.0,8879693.0,4234786.0,,8881751.0,8933919.0,838.0,3.0,0.0,57.0,413.0,354.0,3.0,8.0,0.0,7.0,26.0,47.0,53.0,
46,South Texas Vocational Technical Institute-Corpus Christi,Corpus Christi,78416,,,15308006.0,14050155.0,8723097.0,,14053790.0,15170199.0,1214.0,3.0,3.0,62.0,914.0,164.0,3.0,65.0,0.0,,,,,
47,South Texas Vocational Technical Institute-Brownsville,Brownsville,78520,,,11925718.0,11873185.0,7057711.0,,11947297.0,11915144.0,941.0,1.0,0.0,1.0,838.0,9.0,1.0,91.0,0.0,,,,,
48,ATI Career Training Center,Dallas,75247,,,5524882.0,5513563.0,3052057.0,,5540522.0,5555255.0,549.0,2.0,0.0,198.0,123.0,28.0,,198.0,0.0,16.0,22.0,35.0,41.0,
49,ATI Career Training Center-Dallas,Dallas,75247,,,10378690.0,10376156.0,6716677.0,,10614274.0,10588202.0,706.0,0.0,0.0,86.0,48.0,4.0,1.0,567.0,0.0,,,,,
50,ATI Career Training Center-Houston,Houston,77029,,,8821667.0,8790808.0,5717405.0,,8809316.0,8811377.0,743.0,6.0,2.0,220.0,168.0,71.0,5.0,271.0,0.0,,,,,
51,ATI Career Training Center-Waco,Waco,76711,,,16536305.0,16491390.0,11238506.0,,16491390.0,16469850.0,1122.0,1.0,0.0,334.0,334.0,444.0,1.0,8.0,0.0,,,,,
52,Sanford-Brown College,San Antonio,78229,,,1153907.0,1153907.0,478301.0,,1153907.0,1153907.0,221.0,0.0,4.0,39.0,101.0,55.0,4.0,18.0,0.0,7.0,20.0,24.0,40.0,160776.0
53,Sanford-Brown College-San Antonio,San Antonio,78229,,,6010345.0,6010345.0,3287314.0,,6010887.0,6002207.0,639.0,3.0,7.0,59.0,336.0,139.0,23.0,72.0,0.0,12.0,30.0,36.0,60.0,206548.0
54,Lamson Institute,San Antonio,78238,,,4756165.0,4750339.0,3429527.0,,4756852.0,4762678.0,353.0,4.0,2.0,19.0,282.0,31.0,0.0,15.0,0.0,5.0,10.0,20.0,25.0,
55,MediaTech Institute-Houston,Houston,77042,,,1735894.0,1735894.0,1614351.0,,1735894.0,1735894.0,116.0,1.0,1.0,49.0,20.0,45.0,,0.0,0.0,4.0,6.0,4.0,19.0,
56,MediaTech Institute-Austin,Austin,78704,,,1366203.0,1366203.0,1290166.0,,1366203.0,1366203.0,121.0,0.0,1.0,7.0,26.0,86.0,,1.0,0.0,4.0,5.0,7.0,16.0,
57,South Texas Training Center,San Benito,78586,,,558834.0,558834.0,439555.0,,558834.0,559346.0,42.0,0.0,1.0,0.0,38.0,3.0,0.0,0.0,0.0,3.0,4.0,10.0,10.0,
58,360 Degrees Beauty Academy,Houston,77084,,,222890.0,222890.0,139808.0,,244823.0,244823.0,23.0,0.0,0.0,14.0,7.0,1.0,,0.0,1.0,5.0,2.0,14.0,14.0,
59,Aveda Institute San Antonio,San Antonio,78215,,,2090627.0,2090627.0,1632519.0,,3691062.0,3232954.0,204.0,5.0,4.0,6.0,92.0,87.0,,8.0,2.0,7.0,15.0,41.0,53.0,
60,Aveda Institute-San Antonio,San Antonio,78215,,,3436660.0,3436660.0,2635160.0,,4076532.0,3284532.0,198.0,3.0,4.0,8.0,93.0,78.0,7.0,5.0,0.0,,,,,
61,PCCenter,DeSoto,75115,,,325719.0,325719.0,159266.0,,471485.0,478757.0,43.0,0.0,0.0,38.0,2.0,3.0,0.0,0.0,0.0,4.0,10.0,5.0,17.0,
62,MediaTech Institute-Irving,Irving,75039,,,2793030.0,2793030.0,2679513.0,,2793030.0,2793030.0,202.0,2.0,4.0,47.0,25.0,117.0,,7.0,0.0,7.0,9.0,24.0,29.0,
63,Hands on Therapy,Mesquite,75149,,,927219.0,927219.0,376169.0,,1275375.0,1275375.0,27.0,0.0,0.0,9.0,1.0,16.0,,1.0,0.0,5.0,7.0,6.0,13.0,
64,ATI Career Training Center-Garland,Garland,75041,,,10930012.0,10842120.0,6459124.0,,10844476.0,10929919.0,797.0,1.0,11.0,125.0,170.0,106.0,3.0,381.0,0.0,,,,,
65,ATI Career Training Center-Richardson,Richardson,75081,,,10030896.0,9999121.0,5777887.0,,9999121.0,9972225.0,730.0,1.0,6.0,193.0,116.0,151.0,3.0,259.0,1.0,,,,,
66,Le Cordon Bleu Institute of Culinary Arts-Dallas,Dallas,75234,,,9001312.0,9001312.0,7518381.0,183698.0,11824837.0,11824837.0,573.0,4.0,15.0,109.0,137.0,257.0,,51.0,0.0,9.0,28.0,47.0,60.0,558763.0
67,Le Cordon Bleu College of Culinary Arts-Dallas,Dallas,75234,,,15814629.0,15814629.0,12051784.0,,18508816.0,18412148.0,1046.0,9.0,29.0,200.0,254.0,429.0,29.0,96.0,0.0,8.0,36.0,62.0,77.0,803678.0
68,National American University-Austin,Austin,78727,,,512217.0,506653.0,368541.0,,518437.0,524001.0,51.0,0.0,1.0,24.0,9.0,15.0,,2.0,0.0,,,,,
69,Remington College-Houston Southeast,Webster,77598,,,4098670.0,4098670.0,3031851.0,,4103433.0,4103433.0,204.0,1.0,1.0,68.0,58.0,65.0,0.0,11.0,0.0,7.0,15.0,32.0,39.0,252174.0
70,Remington College-Houston Southeast Campus,Webster,77598,,,6222384.0,6222259.0,4213089.0,,6283249.0,6283374.0,414.0,4.0,6.0,81.0,147.0,163.0,13.0,0.0,0.0,,,,,719006.0
71,The Art Institute of Austin,Austin,78728,,,8745926.0,8603512.0,7979672.0,,9273669.0,9210999.0,416.0,1.0,8.0,19.0,116.0,197.0,,75.0,0.0,,,,,126821.0
72,Academy at Austin,Pflugerville,78660,,,1264698.0,1264698.0,1078179.0,,1626683.0,1815762.0,196.0,0.0,5.0,22.0,36.0,127.0,0.0,5.0,1.0,6.0,9.0,18.0,21.0,
73,Paul Mitchell The school-Austin,Pflugerville,78660,,,2092809.0,2070859.0,1395821.0,,3131871.0,2458614.0,198.0,1.0,6.0,24.0,70.0,96.0,0.0,1.0,0.0,8.0,15.0,26.0,30.0,
74,Southwest Career Institute,El Paso,79925,,,2761112.0,2761112.0,-245646.0,,2775597.0,2761112.0,200.0,1.0,0.0,4.0,192.0,3.0,0.0,0.0,0.0,,,,,
75,Southwest Career College,El Paso,79925,,,6759215.0,6727506.0,3564952.0,,6727506.0,6759215.0,650.0,1.0,1.0,8.0,614.0,24.0,2.0,0.0,0.0,7.0,24.0,51.0,57.0,467138.0
76,Vatterott Education Center,Dallas,75220,,,868143.0,868143.0,620310.0,,869737.0,868612.0,133.0,0.0,0.0,91.0,33.0,8.0,,1.0,0.0,,,,,
77,International Academy of Design and Technology,San Antonio,78229,,,2277290.0,2277290.0,1830704.0,,2294872.0,2294872.0,220.0,0.0,0.0,3.0,34.0,5.0,,178.0,0.0,,,,,
78,International Academy of Design and Technology-San Antonio,San Antonio,78229,,,10697172.0,10697172.0,7514153.0,,10823347.0,10799441.0,753.0,3.0,8.0,75.0,325.0,107.0,11.0,224.0,0.0,13.0,59.0,37.0,89.0,319014.0
79,Brite Divinity School,Forth Worth,76129,,,2977213.0,865345.0,865345.0,2079199.0,1449593.0,2188477.0,268.0,3.0,2.0,33.0,11.0,197.0,,1.0,21.0,19.0,46.0,42.0,84.0,1602420.0
80,Milan Institute of Cosmetology,San Antonio,78221,,,1268790.0,1268790.0,727845.0,,1367362.0,1367362.0,170.0,1.0,1.0,6.0,147.0,11.0,,4.0,0.0,,,,,
81,Milan Institute of Cosmetology-San Antonio Ingram Park,San Antonio,78221,,,2755208.0,2740208.0,1490551.0,,3179171.0,3194171.0,235.0,0.0,0.0,7.0,212.0,13.0,0.0,3.0,0.0,,,,,
82,Milan Institute of Cosmetology-San Antonio Military,San Antonio,78221,,,3105130.0,3096130.0,1830555.0,,3515519.0,3524519.0,291.0,0.0,1.0,9.0,272.0,8.0,0.0,1.0,0.0,2.0,15.0,29.0,32.0,
83,Lumberton Adult Education Center,Lumberton,77657,,,219735.0,,-79114.0,,28691.0,188847.0,108.0,0.0,0.0,7.0,1.0,98.0,,0.0,2.0,,,,,
84,Southeast Texas Career Institute,Silsbee,77656,,,251854.0,251854.0,162762.0,,283602.0,216206.0,113.0,0.0,0.0,4.0,5.0,104.0,,0.0,0.0,,,,,
85,Professional Careers Institute,Houston,77036,,,825917.0,825917.0,289258.0,,825917.0,825917.0,11.0,0.0,0.0,5.0,3.0,3.0,,0.0,0.0,,,,,
86,Champion Beauty College,Houston,77069,,,277925.0,277925.0,228751.0,,322725.0,322725.0,50.0,0.0,2.0,8.0,12.0,28.0,,0.0,0.0,,,,,
87,CCI Training Center,Arlington,76011,,,1947157.0,1947157.0,1138304.0,,1947157.0,1947157.0,109.0,1.0,5.0,29.0,26.0,42.0,,6.0,0.0,,,,,
88,The Academy of Health Care Professions,San Antonio,78229,,,1592692.0,1592692.0,1074216.0,,1595843.0,1592693.0,205.0,1.0,3.0,20.0,129.0,48.0,,4.0,0.0,,,,,
89,The Academy of Health Care Professions-San Antonio,San Antonio,78229,,,4587078.0,4587078.0,3104630.0,,6309638.0,4827190.0,115.0,0.0,2.0,20.0,47.0,41.0,0.0,5.0,0.0,,,,,
90,North West Beauty School,Houston,77091,,,201876.0,201876.0,104876.0,,225586.0,225586.0,81.0,0.0,8.0,52.0,8.0,2.0,,0.0,11.0,,,,,
91,Mai-trix Beauty College,Houston,77092,,,278552.0,278552.0,158504.0,,336106.0,336106.0,86.0,0.0,38.0,6.0,20.0,8.0,,0.0,14.0,,,,,
92,Texas Health School,Houston,77079,,,810291.0,810291.0,648077.0,,810651.0,814068.0,186.0,0.0,13.0,93.0,38.0,39.0,,0.0,3.0,,,,,
93,Allied Career Center,Carrollton,75005,,,,,,,,,57.0,1.0,2.0,19.0,7.0,28.0,,0.0,0.0,,,,,
94,The Academy of Health Care Professions-Southwest,Houston,77074,,,2687321.0,2687321.0,1731659.0,,2831710.0,2832267.0,32.0,0.0,1.0,7.0,16.0,6.0,0.0,2.0,0.0,,,,,
95,Academy of Hair Design,Jasper,75951,,,208392.0,208392.0,29802.0,,208392.0,208392.0,40.0,0.0,0.0,9.0,1.0,30.0,,0.0,0.0,,,,,
96,University of Phoenix-Austin Campus,Austin,78759-5459,,,2443097.0,2363543.0,2143449.0,,2510761.0,2590315.0,223.0,1.0,5.0,43.0,36.0,81.0,,50.0,7.0,3.0,35.0,21.0,52.0,153003.0
97,University of Phoenix-San Antonio Campus,San Antonio,78230-3876,,,4143270.0,3958099.0,3459790.0,,4202742.0,4387913.0,356.0,3.0,12.0,41.0,146.0,81.0,,68.0,5.0,3.0,74.0,26.0,97.0,129276.0
98,Houston's Training and Education Center,Houston,77036,,,179439.0,179439.0,-25344.0,,418396.0,418396.0,77.0,0.0,0.0,36.0,28.0,7.0,,6.0,0.0,,,,,
99,HTEC-Houston's Training and Education Center Inc,Houston,77032,,,250278.0,250278.0,-47312.0,,250278.0,250278.0,75.0,0.0,0.0,62.0,11.0,1.0,0.0,1.0,0.0,2.0,4.0,9.0,11.0,
100,Computer Labs,El Paso,79906,,,5900.0,5900.0,-3425.0,77172.0,45297.0,744269.0,26.0,0.0,0.0,0.0,24.0,2.0,,0.0,0.0,,,,,
101,Amesed,Fort Worth,76133,,,21132.0,21132.0,18432.0,,21132.0,21132.0,10.0,0.0,1.0,0.0,1.0,8.0,,0.0,0.0,,,,,
102,Bryman College-National Institute of Technology-Bissonnet,Houston,77036-800,,,3981013.0,3981013.0,2829409.0,,3981013.0,3981013.0,222.0,0.0,0.0,0.0,0.0,0.0,,222.0,0.0,,,,,
103,Everest Institute-Bissonnet,Houston,77036-8001,,,6805350.0,6805350.0,5287334.0,,6805350.0,6805350.0,577.0,0.0,0.0,0.0,0.0,0.0,,577.0,0.0,,,,,
104,Texas Careers-Lubbock,Lubbock,79401,,,3377152.0,3369547.0,2340017.0,7605.0,4807379.0,4814984.0,447.0,3.0,1.0,79.0,267.0,90.0,,7.0,0.0,,,,,
105,Kaplan College-Lubbock,Lubbock,79401,,,8569398.0,8568749.0,5644421.0,,8568749.0,8301261.0,570.0,4.0,2.0,49.0,141.0,131.0,0.0,243.0,0.0,,,,,316763.0
106,Southeastern Career Institute-Midland,Midland,79703,,,1483958.0,1483658.0,141449.0,300.0,3515489.0,3509881.0,426.0,1.0,0.0,42.0,213.0,93.0,,77.0,0.0,,,,,
107,Kaplan College-Midland,Midland,79703,,,9068385.0,9066510.0,6948004.0,1875.0,7029265.0,6978680.0,494.0,1.0,0.0,2.0,17.0,7.0,0.0,467.0,0.0,8.0,24.0,42.0,49.0,566608.0
108,Career Centers of Texas-Ft Worth,Fort Worth,76103-231,,,906763.0,904013.0,151530.0,2750.0,2244350.0,2244600.0,382.0,2.0,7.0,204.0,96.0,73.0,,0.0,0.0,,,,,
109,Kaplan College-Fort Worth,Fort Worth,76103-2310,,,9343388.0,9340055.0,6376091.0,,9340055.0,9037316.0,541.0,1.0,6.0,131.0,180.0,137.0,0.0,86.0,0.0,,,,,162361.0
110,Remington College-North Houston Campus,Houston,77067,,,4361344.0,4360344.0,3123251.0,,4361690.0,4362690.0,163.0,0.0,0.0,90.0,48.0,25.0,,0.0,0.0,,,,,122566.0
111,Everest College-Fort Worth,Fort Worth,76137,,,2139339.0,2139339.0,1545506.0,,2139339.0,2139339.0,28.0,0.0,0.0,8.0,10.0,10.0,,0.0,0.0,,,,,29455.0
112,Brown Mackie College-Fort Worth,Hurst,76053,,,2458356.0,2458356.0,1283766.0,,2588275.0,1413685.0,137.0,0.0,6.0,45.0,24.0,47.0,,15.0,0.0,,,,,
113,Brown Mackie College-Dallas,Garland,75041,,,4604226.0,4604226.0,2365363.0,,4878547.0,2639684.0,306.0,1.0,3.0,74.0,41.0,39.0,,131.0,17.0,,,,,
114,Sanford-Brown Institute,Houston,77008,,,1350072.0,1350072.0,804670.0,,1528142.0,1898762.0,232.0,3.0,4.0,89.0,53.0,63.0,,20.0,0.0,,,,,
115,Sanford-Brown College-Houston North Loop,Houston,77008,,,6365932.0,6365932.0,3744147.0,,6372194.0,6324244.0,633.0,7.0,11.0,231.0,240.0,131.0,5.0,8.0,0.0,12.0,22.0,31.0,54.0,
116,American Intercontinental University,Houston,77042,,,5479885.0,5427925.0,4030380.0,,6174172.0,6210409.0,376.0,2.0,14.0,178.0,92.0,57.0,,25.0,8.0,,,,,403160.0
117,American InterContinental University,Houston,77042,,,7985567.0,7985567.0,6397992.0,,8543817.0,8376442.0,514.0,0.0,20.0,225.0,92.0,28.0,7.0,141.0,1.0,15.0,38.0,48.0,85.0,283609.0
118,American InterContinental University-Houston,Houston,77042,,,8983131.0,8983131.0,7026470.0,,9596705.0,9386583.0,557.0,1.0,25.0,243.0,109.0,34.0,6.0,138.0,1.0,17.0,32.0,50.0,81.0,298063.0
119,Culinary Institute Alain and Marie Lenotre,Houston,77022-432,,,982397.0,982397.0,921150.0,,1128355.0,1128355.0,55.0,0.0,3.0,8.0,18.0,26.0,,0.0,0.0,,,,,
120,Culinary Institute Inc,Houston,77022-4322,,,3950207.0,3894932.0,3541650.0,,4528193.0,4583468.0,199.0,0.0,4.0,42.0,70.0,76.0,4.0,3.0,0.0,6.0,7.0,29.0,37.0,242973.0
121,Culinary Academy of Austin,Austin,78731,,,407515.0,407515.0,392735.0,,407515.0,407515.0,9.0,0.0,2.0,1.0,3.0,3.0,,0.0,0.0,,,,,
122,Auguste Escoffier School of Culinary Arts-Austin,Austin,78752,,,2511049.0,2442039.0,1998540.0,,2757243.0,2758223.0,167.0,2.0,4.0,16.0,45.0,71.0,3.0,26.0,0.0,11.0,14.0,33.0,34.0,
123,Bill J Priest Institute for Economic Development,Dallas,75215,,,,,,,,,120.0,1.0,4.0,87.0,26.0,2.0,,0.0,0.0,,,,,
124,Baptist University of the Americas,San Antonio,78224-133,,,496261.0,391226.0,189855.0,707692.0,697497.0,2907320.0,178.0,0.0,3.0,9.0,89.0,30.0,,0.0,47.0,,,,,200132.0
125,Anamarc Educational Institute,El Paso,79930,,,1444271.0,1444271.0,1051414.0,,1461219.0,1575793.0,362.0,0.0,0.0,5.0,338.0,19.0,,0.0,0.0,,,,,
126,Anamarc College-El Paso,El Paso,79930,,,6435262.0,6434512.0,4048173.0,,6516529.0,6517279.0,710.0,2.0,11.0,40.0,584.0,62.0,0.0,11.0,0.0,,,,,483568.0
127,Southern Careers Institute,Laredo,78041,,,751184.0,751184.0,-34162.0,,801777.0,1537316.0,147.0,0.0,1.0,1.0,136.0,9.0,,0.0,0.0,,,,,
128,Southern Careers Institute Inc-Laredo,Laredo,78041,,,873379.0,873379.0,177231.0,,910837.0,1571035.0,110.0,0.0,1.0,1.0,104.0,4.0,,0.0,0.0,,,,,
129,Westwood College-Houston South,Houston,77074,,,1355971.0,1339595.0,1029697.0,,1487220.0,1487220.0,16.0,0.0,0.0,9.0,2.0,5.0,,0.0,0.0,,,,,
130,Everest College,Arlington,76011,,,3492387.0,3492387.0,2569732.0,,3492387.0,3492387.0,186.0,0.0,3.0,94.0,47.0,39.0,,3.0,0.0,4.0,20.0,24.0,44.0,
131,Everest College-Arlington,Arlington,76011,,,7260901.0,7260901.0,5506101.0,,7260901.0,7260901.0,838.0,0.0,14.0,57.0,71.0,49.0,,647.0,0.0,8.0,4.0,30.0,32.0,106236.0
132,Career Centers of Texas-Corpus Christi,Corpus Christ,78416,,,1788185.0,1788185.0,639585.0,,3219021.0,3201521.0,302.0,0.0,0.0,27.0,239.0,36.0,,0.0,0.0,,,,,
133,Kaplan College-Corpus Christi,Corpus Christ,78416,,,12792347.0,12745456.0,8890882.0,,12745456.0,12366802.0,791.0,0.0,1.0,23.0,200.0,111.0,0.0,456.0,0.0,,,,,967760.0
134,Career Centers of Texas-Brownsville,Brownsville,78521,,,2633275.0,2630263.0,1392246.0,3012.0,3772941.0,3770554.0,475.0,0.0,0.0,2.0,466.0,7.0,,0.0,0.0,,,,,
135,Kaplan College-Brownsville,Brownsville,78521,,,9820728.0,9820228.0,6240351.0,,9820228.0,9651106.0,653.0,4.0,1.0,0.0,43.0,80.0,0.0,525.0,0.0,,,,,395607.0
136,University of North Texas System,Denton,76201,,,12075.0,12075.0,12075.0,,5503184.0,5503192.0,,,,,,,,,,,,,,
137,Interactive Learning Systems,Houston,77060,,,585476.0,585476.0,181462.0,,585476.0,585476.0,33.0,0.0,1.0,19.0,9.0,3.0,,0.0,1.0,,,,,
138,Interactive Learning Systems-North Houston,Houston,77022,,,1970138.0,1970138.0,1447818.0,,1970138.0,1970138.0,28.0,0.0,1.0,6.0,18.0,2.0,0.0,1.0,0.0,,,,,
139,Valley Grande Institute for Academic Studies,Weslaco,78596,,,1310860.0,1310860.0,655430.0,85800.0,2143475.0,1573845.0,262.0,0.0,0.0,0.0,259.0,3.0,,0.0,0.0,,,,,
140,Trend Barber College,Houston,77071-000,,,244710.0,244710.0,31078.0,,431430.0,267057.0,43.0,0.0,0.0,39.0,3.0,0.0,,0.0,1.0,,,,,
141,Jay's Technical Institute,Houston,77031,,,26447.0,26447.0,-527497.0,,26447.0,580503.0,133.0,0.0,0.0,123.0,8.0,1.0,,0.0,1.0,,,,,
142,Dallas Barber & Stylist College,Dallas,75243,,,646426.0,646426.0,174723.0,,766229.0,766930.0,91.0,0.0,0.0,88.0,2.0,0.0,,0.0,1.0,,,,,
143,Academy of Cosmetology,Austin,78745,,,465065.0,465065.0,123221.0,,501187.0,305079.0,80.0,0.0,63.0,5.0,7.0,4.0,,1.0,0.0,,,,,
144,Ronny J's Barber Styling,Dallas,75227,,,361617.0,361617.0,8271.0,,477784.0,477784.0,74.0,0.0,0.0,72.0,2.0,0.0,,0.0,0.0,,,,,
145,Everest College-Dallas,Dallas,75206,,,10650531.0,10650531.0,8178114.0,,10650531.0,10650531.0,748.0,0.0,4.0,291.0,37.0,32.0,,384.0,0.0,6.0,5.0,40.0,41.0,150216.0
146,National Institute of Technology,Austin,78754,,,5801587.0,5801587.0,4129710.0,,5801587.0,5801587.0,541.0,0.0,5.0,191.0,188.0,153.0,,3.0,1.0,,,,,
147,Everest Institute-Austin,Austin,78754,,,9725005.0,9725005.0,7498470.0,,9725005.0,9725005.0,1069.0,4.0,14.0,257.0,444.0,332.0,,11.0,7.0,,,,,
148,Westwood College-Dallas,Dallas,75243,,,3217679.0,3199679.0,2699167.0,,3532651.0,3532651.0,128.0,0.0,6.0,31.0,27.0,47.0,,17.0,0.0,,,,,148094.0
149,Westwood College-Ft Worth,Fort Worth,76137,,,5413266.0,5383266.0,4760471.0,,5820698.0,5820698.0,210.0,2.0,8.0,41.0,45.0,109.0,,5.0,0.0,,,,,120275.0
150,Virginia College at Austin,Austin,78723,,,1081476.0,1081476.0,640486.0,,1602129.0,1585865.0,88.0,1.0,0.0,35.0,29.0,23.0,,0.0,0.0,,,,,212075.0
151,Virginia College-Austin,Austin,78723,,,3624443.0,3624443.0,1740919.0,,5389105.0,5163948.0,769.0,5.0,15.0,196.0,275.0,252.0,,26.0,0.0,5.0,54.0,46.0,82.0,
152,Behold Beauty Academy,Houston,77016-372,,,101880.0,101880.0,19320.0,,360821.0,278281.0,41.0,0.0,0.0,41.0,0.0,0.0,,0.0,0.0,,,,,
153,GENESIS VOCATIONAL TRAINING,HOUSTON,77036,,,941000.0,941000.0,-11900.0,,1814285.0,1885516.0,,,,,,,,,,,,,,
154,CAREER TECH INSTITUTE,EDINBURG,78539,,,,,,,,,159.0,0.0,0.0,0.0,158.0,1.0,,0.0,0.0,,,,,
155,State Beauty Academy,Duncanville,75116,,,220487.0,220487.0,97354.0,,327279.0,327279.0,46.0,0.0,3.0,36.0,3.0,4.0,,0.0,0.0,,,,,
156,Aviation Institute of Maintenance-Dallas,Dallas,75209,,,773968.0,765168.0,703007.0,,765168.0,765188.0,,,,,,,,,,,,,,
157,MJ's Beauty Academy Inc,Dallas,75224,,,226334.0,226334.0,0.0,12000.0,326123.0,392123.0,50.0,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,,,,,
158,Lamar Institute of Technology,Beaumont,77705,,,5957739.0,5637867.0,2825695.0,170471.0,16625260.0,18381396.0,2422.0,12.0,48.0,748.0,151.0,1410.0,,51.0,2.0,,,,,2994736.0
159,Kussad Institute of Court Reporting,Austin,78704,,,176596.0,176596.0,143508.0,,178892.0,145807.0,29.0,0.0,1.0,0.0,5.0,23.0,,0.0,0.0,,,,,
160,Concorde Career Institute,Arlington,76011,,,1083000.0,1083000.0,-46000.0,,1257000.0,2374000.0,,,,,,,,,,,,,,
161,Concorde Career Institute-Arlington,Arlington,76011-4016,,,9962000.0,9958000.0,4885000.0,4000.0,10127000.0,15048000.0,638.0,6.0,19.0,276.0,104.0,217.0,10.0,6.0,0.0,14.0,65.0,84.0,106.0,
162,Everest Institute-Hobby,Houston,77087,,,7520966.0,7520966.0,5573392.0,,7520966.0,7520966.0,684.0,1.0,6.0,188.0,372.0,81.0,,36.0,0.0,,,,,
163,Interactive Learning Systems-Pasadena,Pasadena,77502,,,1572876.0,1572876.0,1201037.0,,1572876.0,1572876.0,20.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,,,,,
164,University of Phoenix-Houston Campus,Houston,77079-200,,,9193000.0,9193000.0,8620000.0,,9352000.0,9352000.0,550.0,0.0,26.0,55.0,60.0,110.0,,299.0,0.0,4.0,41.0,34.0,71.0,98184.0
