i_id,city,state,zip
11641,Rio Grande,OH,45674
11642,Rochester,NY,14627-001
11645,Santurce,PR,907
11646,Fort Wayne,IN,46808-3994
11647,Fort Wayne,IN,46808-399
11648,Leavenworth,KS,66048-508
11649,Mundelein,IL,60060-117
11654,San Diego,CA,92110-249
11655,San Francisco,CA,94117-108
11660,Chickasha,OK,73018-532
11664,Scranton,PA,18510-462
11669,Sioux Falls,SD,57105-169
11671,Mobile,AL,36688-000
11675,Aiken,SC,29801
11676,Beaufort,SC,29902
11677,Columbia,SC,29208
11678,Lancaster,SC,29720
11679,Allendale,SC,29810
11680,Sumter,SC,29150-249
11681,Union,SC,29379
11682,Spartanburg,SC,29303-499
11683,Vermillion,SD,57069-239
11684,Tampa,FL,33620-995
11685,Tampa,FL,33620-9951
11687,Los Angeles,CA,90089
11689,Evansville,IN,47712
11690,Hattiesburg,MS,39406-000
11691,Henderson,NV,89014
11693,Springfield,IL,62704
11696,Joliet,IL,60435-618
11697,Houston,TX,77006-469
11717,Toledo,OH,43606-339
11718,Toledo,OH,43606-3390
11728,Tulsa,OK,74104-318
11736,Salt Lake City,UT,84112-900
11739,Burlington,VT,05405-016
11747,Charlottesville,VA,22904
11752,Seattle,WA,98195-455
11754,Livingston,AL,35470
11755,Carrollton,GA,30118-000
11756,Portland,OR,97230-3099
11760,Madison,WI,53708-868
11761,Madison,WI,53706
11762,Eau Claire,WI,54701
11763,Green Bay,WI,54311-700
11764,La Crosse,WI,54601-995
11765,Madison,WI,53706-138
11766,Milwaukee,WI,53211
11767,Oshkosh,WI,54901
11768,Kenosha,WI,53141-200
11769,Platteville,WI,53818-300
11770,River Falls,WI,54022
11771,Stevens Point,WI,54481
11772,Menomonie,WI,54751
11773,Superior,WI,54880-450
11774,Madison,WI,53706
11775,Whitewater,WI,53190-179
11779,Laramie,WY,82071
11787,Williamsburg,KY,40769
11788,Washington,DC,20008
11789,San Antonio,TX,78209
11790,Clarksville,AR,72830
11791,Stockton,CA,95211-019
11794,Colorado Springs,CO,80903-3612
11795,Philadelphia,PA,19104-4495
11796,Philadelphia,PA,19104-449
11797,Hobbs,NM,88240
11799,Charlotte Amalie,VI,00802-999
11800,Rosemead,CA,91770
11806,Perkasie,PA,18944
11807,Bourne,MA,2532
11808,Fayette,IA,52142-185
