i_id,Institution,Location,Enrollment,Endowment (millions),Nickname,Conference,c_id
11172,University of Alabama at Birmingham,"Birmingham, Alabama","21,923",$537.30 ,Blazers,C-USA,2946
3990,Florida Atlantic University,"Boca Raton, Florida","29,772",$227 ,Owls,C-USA,2946
4015,Florida International University,"University Park, Florida","58,064",$216.30 ,Panthers,C-USA,2946
6256,Louisiana Tech University,"Ruston, Louisiana","12,467",$106.90 ,Bulldogs & Lady Techsters,C-USA,2946
6684,Marshall University,"Huntington, West Virginia","13,204",$147.20 ,Thundering Herd,C-USA,2946
6939,Middle Tennessee State University,"Murfreesboro, Tennessee","21,913",$105.60 ,Blue Raiders,C-USA,2946
11496,University of North Carolina at Charlotte,"Charlotte, North Carolina","30,146",$230.35 ,49ers,C-USA,2946
11503,University of North Texas,"Denton, Texas","42,372",$217.80 ,Mean Green,C-USA,2946
8011,Old Dominion University,"Norfolk, Virginia","24,176",$261.70 ,Monarchs & Lady Monarchs[e],C-USA,2946
8950,Rice University,"Houston, Texas","7,124","$6,480 ",Owls,C-USA,2946
11690,University of Southern Mississippi,"Hattiesburg, Mississippi","14,509",$104.90 ,Golden Eagles,C-USA,2946
11715,University of Texas at El Paso,"El Paso, Texas","25,151",$241.70 ,Miners,C-USA,2946
10804,The University of Texas at San Antonio,"San Antonio, Texas","34,734",$181.40 ,Roadrunners,C-USA,2946
12305,Western Kentucky University,"Bowling Green, Kentucky","19,456",$175.20 ,Hilltoppers & Lady Toppers,C-USA,2946
10770,The University of Akron,"Akron, Ohio","18,730",$236 ,Zips,MAC,6845
1436,Bowling Green State University,"Bowling Green, Ohio","17,540",$175 ,Falcons,MAC,6845
11162,University at Buffalo,"Buffalo, New York","31,923",$795 ,Bulls,MAC,6845
5760,Kent State University,"Kent, Ohio","28,122",$146 ,Golden Flashes,MAC,6845
6897,Miami University-Oxford,"Oxford, Ohio","19,933",$555 ,RedHawks,MAC,6845
7979,Ohio University,"Athens, Ohio","28,750",$762 ,Bobcats,MAC,6845
1165,Ball State University,"Muncie, Indiana","21,597",$213 ,Cardinals,MAC,6845
2298,Central Michigan University,"Mount Pleasant, Michigan","21,705",$189 ,Chippewas,MAC,6845
3449,Eastern Michigan University,"Ypsilanti, Michigan","18,838",$78 ,Eagles,MAC,6845
7777,Northern Illinois University,"DeKalb, Illinois","17,169",$80 ,Huskies,MAC,6845
11717,University of Toledo,"Toledo, Ohio","20,304",$454 ,Rockets,MAC,6845
12306,Western Michigan University,"Kalamazoo, Michigan","22,562",$405 ,Broncos,MAC,6845
11092,United States Air Force Academy,"Colorado Springs, Colorado","4,304",$98.90 ,Falcons,MW,8019
1414,Boise State University,"Boise, Idaho","25,540",$113.80 ,Broncos,MW,8019
2032,California State University-Fresno,"Fresno, California","25,341",$170.70 ,Bulldogs,MW,8019
2676,Colorado State University,"Fort Collins, Colorado","34,166",$393.10 ,Rams,MW,8019
11481,University of Nevada-Reno,"Reno, Nevada","20,718",$367.40 ,Wolf Pack,MW,8019
11480,University of Nevada-Las Vegas,"Paradise, Nevada","31,142",$305.70 ,Rebels,MW,8019
10786,The University of New Mexico - Albuquerque,"Albuquerque, New Mexico","25,441",$442.40 ,Lobos,MW,8019
9521,San Diego State University,"San Diego, California","35,578",$330.20 ,Aztecs,MW,8019
9535,San Jose State University,"San Jose, California","33,025",$148.70 ,Spartans,MW,8019
11826,Utah State University,"Logan, Utah","27,691",$427.40 ,Aggies,MW,8019
11779,University of Wyoming,"Laramie, Wyoming","12,450",$585.90 ,Cowboys & Cowgirls,MW,8019
11185,University of Arizona,"Tucson, Arizona","43,625",980,Wildcats,PAC-12,4065
783,Arizona State University,"Tempe, Arizona","71,946",950,Sun Devils,PAC-12,4065
11227,"University of California, Berkeley","Berkeley, California","41,910",5000,Golden Bears,PAC-12,4065
11230,"University of California, Los Angeles","Los Angeles, California","45,428",5540,Bruins,PAC-12,4065
11269,University of Colorado Boulder,"Boulder, Colorado","33,246",1520,Buffaloes,PAC-12,4065
11519,University of Oregon,"Eugene, Oregon","22,980",910,Ducks,PAC-12,4065
8055,Oregon State University,"Corvallis, Oregon","31,904",700,Beavers,PAC-12,4065
11687,University of Southern California,"Los Angeles, California","48,500",5910,Trojans,PAC-12,4065
10107,Stanford University,"Stanford, California","16,336",28940,Cardinal,PAC-12,4065
11736,University of Utah,"Salt Lake City, Utah","33,000",1070,Utes,PAC-12,4065
11751,University of Washington,"Seattle, Washington","46,081",3070,Huskies,PAC-12,4065
12205,Washington State University,"Pullman, Washington","30,614",1080,Cougars,PAC-12,4065
739,Appalachian State University,"Boone, North Carolina","20,023",$122 ,Mountaineers,SBC,6493
796,Arkansas State University,"Jonesboro, Arkansas","13,891",$84 ,Red Wolves,SBC,6493
2560,Coastal Carolina University,"Conway, South Carolina","10,894",$51 ,Chanticleers,SBC,6493
4286,Georgia Southern University,"Statesboro, Georgia","27,459",$56 ,Eagles,SBC,6493
4288,Georgia State University,"Atlanta, Georgia","53,619",$179 ,Panthers,SBC,6493
11192,University of Arkansas at Little Rock,"Little Rock, Arkansas","9,579",$80 ,Trojans,SBC,6493
11399,University of Louisiana at Lafayette,"Lafayette, Louisiana","19,188",$153 ,Ragin' Cajuns,SBC,6493
11400,University of Louisiana at Monroe,"Monroe, Louisiana","9,060",$23 ,Warhawks,SBC,6493
11671,University of South Alabama,"Mobile, Alabama","14,834",$576 ,Jaguars,SBC,6493
10577,Texas State University-San Marcos,"San Marcos, Texas","38,231",$208 ,Bobcats,SBC,6493
10801,The University of Texas at Arlington,"Arlington, Texas","42,863",$159 ,Mavericks,SBC,6493
10974,Troy University,"Troy, Alabama","17,494",$129 ,Trojans,SBC,6493
5215,Indiana State University,"Terre Haute, Indiana","12,144",,Sycamores,MVFC,1825
5171,Illinois State University,"Normal, Illinois","20,635",,Redbirds,MVFC,1825
7060,Missouri State University,"Springfield, Missouri","23,502",,Bears,MVFC,1825
11501,University of North Dakota,"Grand Forks, North Dakota","13,772",,Fighting Hawks,MVFC,1825
7709,North Dakota State University,"Fargo, North Dakota","12,461",,Bison,MVFC,1825
11508,University of Northern Iowa,"Cedar Falls, Iowa","10,497",,Panthers,MVFC,1825
11683,University of South Dakota,"Vermillion, South Dakota","9,971",,Coyotes,MVFC,1825
