i_id,c_id,Institution
11913,4593,Valparaiso University
10793,3853,The University of Tennessee at Chattanooga
2476,3853,Citadel Military College of South Carolina
3427,3853,East Tennessee State University
4146,3853,Furman University
6833,3853,Mercer University
9506,3853,Samford University
11497,3853,University of North Carolina at Greensboro
12005,3853,Virginia Military Institute
12296,3853,Western Carolina University
12428,3853,Wofford College
4830,8827,Houston Baptist University
11789,8827,University of the Incarnate Word
6761,8827,McNeese State University
11489,8827,University of New Orleans
7666,8827,Nicholls State University
7837,8827,Northwestern State University of Louisiana
9881,8827,Southeastern Louisiana University
10546,8827,Texas A & M University-Corpus Christi
466,1593,Alabama A & M University
468,1593,Alabama State University
1337,1593,Bethune-Cookman University
3989,1593,Florida Agricultural and Mechanical University
5480,1593,Jackson State University
7051,1593,Mississippi Valley State University
491,1593,Alcorn State University
4355,1593,Grambling State University
8585,1593,Prairie View A & M University
9950,1593,Southern University
10571,1593,Texas Southern University
11194,1593,University of Arkansas at Pine Bluff
341,7676,Abilene Christian University
1999,7676,California Baptist University
2422,7676,Chicago State University
3244,7676,Dixie State College of Utah
4356,7676,Grand Canyon University
5993,7676,Lamar University
7615,7676,New Mexico State University
9504,7676,Sam Houston State University
9661,7676,Seattle University
10145,7676,Stephen F Austin State University
10456,7676,Tarleton State University
12576,7676,The University of Texas at Rio Grande Valley
11829,7676,Utah Valley University
11082,1493,Eastern Kentucky University
10335,7907,Pennsylvania State University
11622,5923,Brigham Young University
14420,1,University of Manitoba
15211,6845,Western Michigan University
16002,5923,University of Massachusetts Amherst
16792,3948,Grand Valley State University
16381,5923,Navy
16972,5923,Liberty University
17563,5923,University of Connecticut
19092,5497,Bellarmine University
19818,5497,University of Central Arkansas
20545,5497,Eastern Kentucky University
21272,5497,Florida Gulf Coast University
21998,5497,Jacksonville University
22725,5497,Jacksonville State University
23452,5497,Kennesaw State University
24178,5497,Liberty University
24905,5497,Lipscomb University
25632,5497,University of North Alabama
26358,5497,University of North Florida
27085,5497,Stetson University
27995,8725,University of Rhode Island
28760,6358,Saint John's University in Collegeville
