University,State,World Ranking,National Ranking,Year,Coeficient
"Rutgers, The State University of New Jersey - New Brunswick",NJ,79,39,2017,7
Georgia Institute of Technology,GA,79,38,2018,7
Purdue University - West Lafayette,IN,79,36,2020,7
Boston University,MA,80,40,2017,7
Carnegie Mellon University,PA,80,40,2017,7
Brown University,RI,84,38,2019,7
Georgia Institute of Technology,GA,85,43,2017,7
Pennsylvania State University - University Park,PA,85,43,2017,7
University of Florida,FL,86,41,2018,7
University of Florida,FL,88,46,2017,7
University of Florida,FL,88,37,2020,7
Brown University,RI,90,45,2016,7
University of Florida,FL,90,45,2016,7
Boston University,MA,90,38,2020,7
Carnegie Mellon University,PA,91,43,2018,7
Georgia Institute of Technology,GA,93,47,2016,7
Carnegie Mellon University,PA,95,41,2019,7
Rice University,TX,95,41,2019,7
University of Florida,FL,95,41,2019,7
Carnegie Mellon University,PA,95,40,2020,7
"Rutgers, The State University of New Jersey - New Brunswick",NJ,96,48,2016,7
University of Pittsburgh,PA,96,41,2020,7
Pennsylvania State University - University Park,PA,98,44,2019,7
University of Arizona,AZ,99,48,2017,7
University of Utah,UT,100,50,2016,7
Arizona State University,AZ,101,51,2016,6
Baylor College of Medicine,TX,101,51,2016,6
Case Western Reserve University,OH,101,51,2016,6
Emory University,GA,101,51,2016,6
Michigan State University,MI,101,51,2016,6
Texas A&M University,TX,101,51,2016,6
Tufts University,MA,101,51,2016,6
University of Arizona,AZ,101,51,2016,6
University of Rochester,NY,101,51,2016,6
Arizona State University,AZ,101,49,2017,6
Baylor College of Medicine,TX,101,49,2017,6
Brown University,RI,101,49,2017,6
Case Western Reserve University,OH,101,49,2017,6
Emory University,GA,101,49,2017,6
Michigan State University,MI,101,49,2017,6
Texas A&M University,TX,101,49,2017,6
University of Rochester,NY,101,49,2017,6
University of Utah,UT,101,49,2017,6
Arizona State University,AZ,101,47,2018,6
Baylor College of Medicine,TX,101,47,2018,6
Brown University,RI,101,47,2018,6
Case Western Reserve University,OH,101,47,2018,6
Emory University,GA,101,47,2018,6
Michigan State University,MI,101,47,2018,6
"Rutgers, The State University of New Jersey - New Brunswick",NJ,101,47,2018,6
University of Arizona,AZ,101,47,2018,6
University of Utah,UT,101,47,2018,6
