University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
Howard University,DC,20059-000,901,191,2020,3
Iowa State University,IA,50011,201,72,2016,5
Iowa State University,IA,50011,201,71,2017,5
Iowa State University,IA,50011,201,70,2018,5
Iowa State University,IA,50011,201,67,2019,5
Iowa State University,IA,50011,201,66,2020,5
Johns Hopkins University,MD,21218-268,16,14,2016,8
Johns Hopkins University,MD,21218-268,18,15,2017,8
Johns Hopkins University,MD,21218-268,18,15,2018,8
Johns Hopkins University,MD,21218-268,16,13,2019,8
Johns Hopkins University,MD,21218-268,15,12,2020,8
Kansas State University,KS,66506,401,118,2018,4
Kansas State University,KS,66506,301,95,2019,5
Kansas State University,KS,66506,401,115,2020,4
Lehigh University,PA,18015,601,156,2019,4
Lehigh University,PA,18015,701,176,2020,4
Lincoln University,MO,65102-002,801,8,2019,3
Lincoln University,MO,65102-002,801,7,2020,3
Louisiana State University - Baton Rouge,LA,70803,301,99,2016,5
Louisiana State University - Baton Rouge,LA,70803,301,100,2017,5
Louisiana State University - Baton Rouge,LA,70803,301,96,2018,5
Louisiana State University - Baton Rouge,LA,70803,301,95,2019,5
Louisiana State University - Baton Rouge,LA,70803,301,95,2020,5
Loyola University Chicago,IL,60611-981,601,156,2019,4
Loyola University Chicago,IL,60611-981,501,134,2020,4
Medical College of Wisconsin,WI,53226-050,601,156,2019,4
Medical College of Wisconsin,WI,53226-050,601,155,2020,4
Medical University of South Carolina,SC,29425-010,201,72,2016,5
Medical University of South Carolina,SC,29425-010,201,71,2017,5
Medical University of South Carolina,SC,29425-010,301,96,2018,5
Medical University of South Carolina,SC,29425-010,401,117,2019,4
Medical University of South Carolina,SC,29425-010,301,95,2020,5
Michigan State University,MI,48824-104,101,51,2016,6
Michigan State University,MI,48824-104,101,49,2017,6
Michigan State University,MI,48824-104,101,47,2018,6
Michigan State University,MI,48824-104,101,46,2019,6
Michigan State University,MI,48824-104,101,42,2020,6
Michigan Technological University,MI,49931-129,701,172,2019,4
Michigan Technological University,MI,49931-129,701,176,2020,4
Mississippi State University,MS,39762,401,118,2018,4
Mississippi State University,MS,39762,501,138,2019,4
Mississippi State University,MS,39762,501,134,2020,4
Montana State University,MT,59717,501,138,2019,4
New Jersey Institute of Technology,NJ,7102,901,193,2019,3
New Jersey Institute of Technology,NJ,7102,901,191,2020,3
New Mexico State University,NM,88003,401,120,2017,4
New Mexico State University,NM,88003,901,193,2019,3
New York University,NY,10012-109,29,22,2016,8
New York University,NY,10012-109,29,22,2017,8
New York University,NY,10012-109,32,24,2018,8
New York University,NY,10012-109,30,22,2019,8
New York University,NY,10012-109,27,19,2020,8
North Carolina State University - Raleigh,NC,27695,201,72,2016,5
North Carolina State University - Raleigh,NC,27695,201,71,2017,5
North Carolina State University - Raleigh,NC,27695,151,59,2018,6
North Carolina State University - Raleigh,NC,27695,201,67,2019,5
North Carolina State University - Raleigh,NC,27695,201,66,2020,5
Northeastern University,MA,2115,201,72,2016,5
Northern Arizona University,AZ,86011-413,501,138,2019,4
Northern Arizona University,AZ,86011-413,501,134,2020,4
Northwest University,WA,98083-057,401,34,2017,4
Northwest University,WA,98083-057,601,73,2019,4
Northwest University,WA,98083-057,601,85,2020,4
Northwestern University,IL,60208,26,20,2016,8
Northwestern University,IL,60208,22,18,2017,8
Northwestern University,IL,60208,25,18,2018,8
Northwestern University,IL,60208,29,21,2019,8
Northwestern University,IL,60208,30,21,2020,8
Ohio University,OH,45701-297,701,172,2019,4
Ohio University,OH,45701-297,601,155,2020,4
Oklahoma State University,OK,74078,401,120,2016,4
Oklahoma State University,OK,74078,401,120,2017,4
Oklahoma State University,OK,74078,401,118,2018,4
Oklahoma State University,OK,74078,501,138,2019,4
Oklahoma State University,OK,74078,501,134,2020,4
Old Dominion University,VA,23529,601,156,2019,4
Old Dominion University,VA,23529,701,176,2020,4
Oregon State University,OR,97331,151,62,2016,6
Oregon State University,OR,97331,151,61,2017,6
Oregon State University,OR,97331,151,59,2018,6
Oregon State University,OR,97331,201,67,2019,5
Oregon State University,OR,97331,201,66,2020,5
Pennsylvania State University - University Park,PA,16802,77,41,2016,7
Pennsylvania State University - University Park,PA,16802,85,43,2017,7
Pennsylvania State University - University Park,PA,16802,74,37,2018,7
Pennsylvania State University - University Park,PA,16802,98,44,2019,7
Pennsylvania State University - University Park,PA,16802,101,42,2020,6
Portland State University,OR,97201,801,182,2019,3
Portland State University,OR,97201,801,182,2020,3
Princeton University,NJ,08544-007,6,5,2016,9
Princeton University,NJ,08544-007,6,5,2017,9
Princeton University,NJ,08544-007,6,5,2018,9
Princeton University,NJ,08544-007,6,5,2019,9
Princeton University,NJ,08544-007,6,5,2020,9
Purdue University - West Lafayette,IN,47907,63,35,2016,7
Purdue University - West Lafayette,IN,47907,77,38,2017,7
