University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
University of Wisconsin-Milwaukee,WI,53211,601,155,2020,4
University of Wisconsin - Madison,WI,53706,28,21,2016,8
University of Wisconsin - Madison,WI,53706,28,21,2017,8
University of Wisconsin - Madison,WI,53706,28,21,2018,8
University of Wisconsin - Madison,WI,53706,27,19,2019,8
University of Wisconsin - Madison,WI,53706,32,23,2020,8
University of Wyoming,WY,82071,401,120,2016,4
University of Wyoming,WY,82071,401,120,2017,4
University of Wyoming,WY,82071,401,118,2018,4
University of Wyoming,WY,82071,401,117,2019,4
University of Wyoming,WY,82071,501,134,2020,4
Utah State University,UT,84322-140,401,120,2016,4
Utah State University,UT,84322-140,401,118,2018,4
Utah State University,UT,84322-140,401,117,2019,4
Utah State University,UT,84322-140,401,115,2020,4
Vanderbilt University,TN,37240,60,34,2016,7
Vanderbilt University,TN,37240,52,31,2017,7
Vanderbilt University,TN,37240,50,31,2018,8
Vanderbilt University,TN,37240,55,32,2019,7
Vanderbilt University,TN,37240,62,33,2020,7
Virginia Commonwealth University,VA,23284-251,201,72,2016,5
Virginia Commonwealth University,VA,23284-251,201,71,2017,5
Virginia Commonwealth University,VA,23284-251,201,70,2018,5
Virginia Commonwealth University,VA,23284-251,201,67,2019,5
Virginia Commonwealth University,VA,23284-251,201,66,2020,5
Virginia Polytechnic Institute and State University,VA,24061-013,301,99,2016,5
Virginia Polytechnic Institute and State University,VA,24061-013,301,100,2017,5
Virginia Polytechnic Institute and State University,VA,24061-013,201,70,2018,5
Virginia Polytechnic Institute and State University,VA,24061-013,201,67,2019,5
Virginia Polytechnic Institute and State University,VA,24061-013,201,66,2020,5
Wake Forest University,NC,27106,401,120,2016,4
Wake Forest University,NC,27106,401,117,2019,4
Wake Forest University,NC,27106,401,115,2020,4
Washington State University,WA,99164-100,401,120,2016,4
Washington State University,WA,99164-100,401,120,2017,4
Washington State University,WA,99164-100,301,96,2018,5
Washington State University,WA,99164-100,301,95,2019,5
Washington State University,WA,99164-100,301,95,2020,5
Wayne State University,MI,48202,301,99,2016,5
Wayne State University,MI,48202,301,100,2017,5
Wayne State University,MI,48202,401,118,2018,4
Wayne State University,MI,48202,401,117,2019,4
Wayne State University,MI,48202,501,134,2020,4
West Virginia University,WV,26506-620,401,120,2016,4
West Virginia University,WV,26506-620,401,120,2017,4
West Virginia University,WV,26506-620,401,118,2018,4
West Virginia University,WV,26506-620,401,117,2019,4
West Virginia University,WV,26506-620,401,115,2020,4
Williams College,MA,1267,901,193,2019,3
Williams College,MA,1267,901,191,2020,3
Worcester Polytechnic Institute,MA,1609,901,193,2019,3
Worcester Polytechnic Institute,MA,1609,901,191,2020,3
Yale University,CT,6520,11,9,2016,8
Yale University,CT,6520,11,9,2017,8
Yale University,CT,6520,12,10,2018,8
Yale University,CT,6520,11,9,2019,8
Yale University,CT,6520,11,9,2020,8
Yeshiva University,NY,10033-329,201,72,2016,5
Yeshiva University,NY,10033-329,201,71,2017,5
Yeshiva University,NY,10033-329,301,96,2018,5
Yeshiva University,NY,10033-329,201,67,2019,5
Yeshiva University,NY,10033-329,201,66,2020,5
