"institution","wranking","nranking","year","city","state","zip"
"Portland State University",801,182,2020,"Portland","OR","97201"
"South Dakota State University",801,182,2020,"Brookings","SD","57007-189"
"Florida Atlantic University",801,182,2020,"Boca Raton","FL","33431-099"
"Lincoln University",801,7,2020,"Jefferson City","MO","65102-002"
"University of Rhode Island",801,182,2020,"Kingston","RI","2881"
"Amherst College",801,182,2020,"Amherst","MA","01002-500"
"Haverford College",801,182,2020,"Haverford","PA","19041-139"
"Boise State University",801,182,2020,"Boise","ID","83725"
"University of Denver",901,193,2019,"Denver","CO","80208"
"Union College",901,193,2019,"Schenectady","NY","12308-231"
"Williams College",901,193,2019,"Williamstown","MA","1267"
"Clark University",901,193,2019,"Worcester","MA","01610-147"
"Florida Atlantic University",901,193,2019,"Boca Raton","FL","33431-099"
"New Jersey Institute of Technology",901,193,2019,"Newark","NJ","7102"
"Worcester Polytechnic Institute",901,193,2019,"Worcester","MA","1609"
"University of North Carolina at Charlotte",901,193,2019,"Charlotte","NC","28223-000"
"University of New Orleans",901,193,2019,"New Orleans","LA","70148"
"Stevens Institute of Technology",901,191,2020,"Hoboken","NJ","07030-599"
"University of North Carolina at Greensboro",901,191,2020,"Greensboro","NC","27402-617"
"University of Arkansas at Little Rock",901,191,2020,"Little Rock","AR","72204"
"University of North Carolina at Charlotte",901,191,2020,"Charlotte","NC","28223-000"
"University of Denver",901,191,2020,"Denver","CO","80208"
"Williams College",901,191,2020,"Williamstown","MA","1267"
"Worcester Polytechnic Institute",901,191,2020,"Worcester","MA","1609"
"Howard University",901,191,2020,"Washington","DC","20059-000"
"East Carolina University",901,191,2020,"Greenville","NC","27858-435"
"College of William and Mary",901,191,2020,"Williamsburg","VA","23187-879"
"New Jersey Institute of Technology",901,191,2020,"Newark","NJ","7102"
