"institution","wranking","nranking","year","city","state","zip"
"Rice University",74,37,2017,"Houston","TX","77005"
"Boston University",75,39,2016,"Boston","MA","2215"
"Boston University",76,36,2019,"Boston","MA","2215"
"Carnegie Mellon University",80,40,2017,"Pittsburgh","PA","15213-389"
"Boston University",80,40,2017,"Boston","MA","2215"
"Brown University",84,38,2019,"Providence","RI","2912"
"University of Florida",86,41,2018,"Gainesville","FL","32611"
"University of Florida",88,46,2017,"Gainesville","FL","32611"
"University of Florida",88,37,2020,"Gainesville","FL","32611"
"University of Florida",90,45,2016,"Gainesville","FL","32611"
"Brown University",90,45,2016,"Providence","RI","2912"
"Boston University",90,38,2020,"Boston","MA","2215"
"Carnegie Mellon University",91,43,2018,"Pittsburgh","PA","15213-389"
"University of Florida",95,41,2019,"Gainesville","FL","32611"
"Rice University",95,41,2019,"Houston","TX","77005"
"Carnegie Mellon University",95,41,2019,"Pittsburgh","PA","15213-389"
"Carnegie Mellon University",95,40,2020,"Pittsburgh","PA","15213-389"
"University of Arizona",99,48,2017,"Tucson","AZ","85721-006"
"University of Utah",100,50,2016,"Salt Lake City","UT","84112-900"
"Emory University",101,51,2016,"Atlanta","GA","30322"
"University of Rochester",101,51,2016,"Rochester","NY","14627-001"
"Baylor College of Medicine",101,51,2016,"Houston","TX","77030-349"
"Tufts University",101,51,2016,"Medford","MA","02155-555"
"Case Western Reserve University",101,51,2016,"Cleveland","OH","44106"
"University of Arizona",101,51,2016,"Tucson","AZ","85721-006"
"Arizona State University",101,51,2016,"Tempe","AZ","85287"
"Michigan State University",101,51,2016,"East Lansing","MI","48824-104"
"University of Rochester",101,49,2017,"Rochester","NY","14627-001"
"Baylor College of Medicine",101,49,2017,"Houston","TX","77030-349"
"Brown University",101,49,2017,"Providence","RI","2912"
"Case Western Reserve University",101,49,2017,"Cleveland","OH","44106"
"Emory University",101,49,2017,"Atlanta","GA","30322"
"University of Utah",101,49,2017,"Salt Lake City","UT","84112-900"
"Michigan State University",101,49,2017,"East Lansing","MI","48824-104"
"Arizona State University",101,49,2017,"Tempe","AZ","85287"
"Case Western Reserve University",101,47,2018,"Cleveland","OH","44106"
"Baylor College of Medicine",101,47,2018,"Houston","TX","77030-349"
"Michigan State University",101,47,2018,"East Lansing","MI","48824-104"
"Emory University",101,47,2018,"Atlanta","GA","30322"
"University of Utah",101,47,2018,"Salt Lake City","UT","84112-900"
"Brown University",101,47,2018,"Providence","RI","2912"
"University of Arizona",101,47,2018,"Tucson","AZ","85721-006"
"Arizona State University",101,47,2018,"Tempe","AZ","85287"
"Case Western Reserve University",101,46,2019,"Cleveland","OH","44106"
"University of Arizona",101,46,2019,"Tucson","AZ","85721-006"
"University of Utah",101,46,2019,"Salt Lake City","UT","84112-900"
"Emory University",101,46,2019,"Atlanta","GA","30322"
"Michigan State University",101,46,2019,"East Lansing","MI","48824-104"
"Baylor College of Medicine",101,46,2019,"Houston","TX","77030-349"
"Arizona State University",101,46,2019,"Tempe","AZ","85287"
"Emory University",101,42,2020,"Atlanta","GA","30322"
"University of Utah",101,42,2020,"Salt Lake City","UT","84112-900"
"University of Arizona",101,42,2020,"Tucson","AZ","85721-006"
"Brown University",101,42,2020,"Providence","RI","2912"
"Case Western Reserve University",101,42,2020,"Cleveland","OH","44106"
"Michigan State University",101,42,2020,"East Lansing","MI","48824-104"
"Rice University",101,42,2020,"Houston","TX","77005"
"Arizona State University",101,42,2020,"Tempe","AZ","85287"
"University of Miami",151,62,2016,"Coral Gables","FL","33124"
"University of Delaware",151,62,2016,"Newark","DE","19716"
"University of Hawaii at Manoa",151,62,2016,"Honolulu","HI","96822-230"
"Oregon State University",151,62,2016,"Corvallis","OR","97331"
"University of Iowa",151,62,2016,"Iowa City","IA","52242-131"
"University of Iowa",151,61,2017,"Iowa City","IA","52242-131"
"University of Miami",151,61,2017,"Coral Gables","FL","33124"
"Tufts University",151,61,2017,"Medford","MA","02155-555"
"Oregon State University",151,61,2017,"Corvallis","OR","97331"
"University of Delaware",151,61,2017,"Newark","DE","19716"
"University of Iowa",151,59,2018,"Iowa City","IA","52242-131"
"Oregon State University",151,59,2018,"Corvallis","OR","97331"
"University of Rochester",151,59,2018,"Rochester","NY","14627-001"
"Tufts University",151,59,2018,"Medford","MA","02155-555"
"Tufts University",151,59,2019,"Medford","MA","02155-555"
"University of Rochester",151,59,2019,"Rochester","NY","14627-001"
"University of Rochester",151,57,2020,"Rochester","NY","14627-001"
"Baylor College of Medicine",151,57,2020,"Houston","TX","77030-349"
"Tufts University",151,57,2020,"Medford","MA","02155-555"
"University of Illinois at Chicago",201,72,2016,"Chicago","IL","60607"
"University of Houston",201,72,2016,"Houston","TX","77204-201"
"Medical University of South Carolina",201,72,2016,"Charleston","SC","29425-010"
"Iowa State University",201,72,2016,"Ames","IA","50011"
"University of Notre Dame",201,72,2016,"Notre Dame","IN","46556"
"George Mason University",201,72,2016,"Fairfax","VA","22030-444"
"Florida State University",201,72,2016,"Tallahassee","FL","32306-103"
"Northeastern University",201,72,2016,"Boston","MA","2115"
"Yeshiva University",201,72,2016,"New York","NY","10033-329"
"Dartmouth College",201,72,2016,"Hanover","NH","03755-352"
"University of South Florida",201,72,2016,"Tampa","FL","33620-995"
"Colorado State University",201,72,2016,"Fort Collins","CO","80523-010"
"Virginia Commonwealth University",201,72,2016,"Richmond","VA","23284-251"
"University of Alabama at Birmingham",201,72,2016,"Birmingham","AL","35294-011"
"Brandeis University",201,72,2016,"Waltham","MA","02454-911"
"University of Kansas",201,72,2016,"Lawrence","KS","66045"
"Stony Brook University",201,72,2016,"Stony Brook","NY","11794"
"Colorado State University",201,71,2017,"Fort Collins","CO","80523-010"
"University of Notre Dame",201,71,2017,"Notre Dame","IN","46556"
"Stony Brook University",201,71,2017,"Stony Brook","NY","11794"
"Virginia Commonwealth University",201,71,2017,"Richmond","VA","23284-251"
"University of Alabama at Birmingham",201,71,2017,"Birmingham","AL","35294-011"
"University of Kansas",201,71,2017,"Lawrence","KS","66045"
"University of Oregon",201,71,2017,"Eugene","OR","97403"
"Medical University of South Carolina",201,71,2017,"Charleston","SC","29425-010"
"Iowa State University",201,71,2017,"Ames","IA","50011"
"University of Houston",201,71,2017,"Houston","TX","77204-201"
"University of Illinois at Chicago",201,71,2017,"Chicago","IL","60607"
"Dartmouth College",201,71,2017,"Hanover","NH","03755-352"
"Yeshiva University",201,71,2017,"New York","NY","10033-329"
"Georgetown University",201,71,2017,"Washington","DC","20057"
"Florida State University",201,71,2017,"Tallahassee","FL","32306-103"
"University of Hawaii at Manoa",201,71,2017,"Honolulu","HI","96822-230"
"University of South Florida",201,71,2017,"Tampa","FL","33620-995"
"George Mason University",201,71,2017,"Fairfax","VA","22030-444"
"University of Alabama at Birmingham",201,70,2018,"Birmingham","AL","35294-011"
"Colorado State University",201,70,2018,"Fort Collins","CO","80523-010"
"Brandeis University",201,70,2018,"Waltham","MA","02454-911"
"University of Miami",201,70,2018,"Coral Gables","FL","33124"
"George Mason University",201,70,2018,"Fairfax","VA","22030-444"
