"player_id","pick","year","t_name","c_name","state"
635,18,2018,"University of Louisville","ACC","KY"
1157,18,2020,"University of South Carolina","SEC","SC"
376,18,2017,"University of South Carolina","SEC","SC"
636,19,2018,"Boise State University","MW","ID"
118,19,2016,"Clemson University","ACC","SC"
898,19,2019,"Mississippi State University","SEC","MS"
1158,19,2020,"Ohio State University","Big Ten","OH"
377,19,2017,"The University of Alabama","SEC","AL"
1159,20,2020,"Louisiana State University - Baton Rouge","SEC","LA"
119,20,2016,"Ohio State University","Big Ten","OH"
637,20,2018,"University of Arkansas","SEC","AR"
899,20,2019,"University of Iowa","Big Ten","IA"
378,20,2017,"University of Utah","PAC-12","UT"
379,21,2017,"Florida State University","ACC","FL"
638,21,2018,"Ohio State University","Big Ten","OH"
1160,21,2020,"Texas Christian University","Big 12","TX"
900,21,2019,"University of Maryland, College Park","Big Ten","MD"
900,21,2019,"University of Maryland, College Park","Big Ten","MD"
900,21,2019,"University of Maryland, College Park","Big Ten","MD"
900,21,2019,"University of Maryland, College Park","Big Ten","MD"
120,21,2016,"University of Notre Dame","ACC","IN"
1161,22,2020,"Louisiana State University - Baton Rouge","SEC","LA"
121,22,2016,"Texas Christian University","Big 12","TX"
639,22,2018,"The University of Alabama","SEC","AL"
380,22,2017,"University of Missouri","SEC","MS"
901,22,2019,"Washington State University","PAC-12","WA"
902,23,2019,"Alabama State University","SWAC","AL"
640,23,2018,"University of Georgia","SEC","GA"
122,23,2016,"University of Mississippi","SEC","MS"
381,23,2017,"University of Mississippi","SEC","MS"
1162,23,2020,"University of Oklahoma","Big 12","OK"
1162,23,2020,"University of Oklahoma","Big 12","OK"
1162,23,2020,"University of Oklahoma","Big 12","OK"
1162,23,2020,"University of Oklahoma","Big 12","OK"
382,24,2017,"Ohio State University","Big Ten","OH"
903,24,2019,"The University of Alabama","SEC","AL"
123,24,2016,"University of Houston","AAC","TX"
641,24,2018,"University of Maryland, College Park","Big Ten","MD"
641,24,2018,"University of Maryland, College Park","Big Ten","MD"
641,24,2018,"University of Maryland, College Park","Big Ten","MD"
641,24,2018,"University of Maryland, College Park","Big Ten","MD"
1163,24,2020,"University of Michigan-Ann Arbor","Big Ten","MI"
1164,25,2020,"Arizona State University","PAC-12","AZ"
124,25,2016,"University of Miami","ACC","FL"
383,25,2017,"University of Michigan-Ann Arbor","Big Ten","MI"
904,25,2019,"University of Oklahoma","Big 12","OK"
904,25,2019,"University of Oklahoma","Big 12","OK"
904,25,2019,"University of Oklahoma","Big 12","OK"
904,25,2019,"University of Oklahoma","Big 12","OK"
642,25,2018,"University of South Carolina","SEC","SC"
905,26,2019,"Mississippi State University","SEC","MS"
643,26,2018,"The University of Alabama","SEC","AL"
384,26,2017,"University of California, Los Angeles","PAC-12","CA"
384,26,2017,"University of California, Los Angeles","PAC-12","CA"
384,26,2017,"University of California, Los Angeles","PAC-12","CA"
125,26,2016,"University of Memphis","AAC","TN"
1165,26,2020,"Utah State University","MW","UT"
385,27,2017,"Louisiana State University - Baton Rouge","SEC","LA"
906,27,2019,"Mississippi State University","SEC","MS"
644,27,2018,"San Diego State University","MW","CA"
1166,27,2020,"Texas Tech University","Big 12","TX"
126,27,2016,"University of California, Los Angeles","PAC-12","CA"
126,27,2016,"University of California, Los Angeles","PAC-12","CA"
126,27,2016,"University of California, Los Angeles","PAC-12","CA"
1167,28,2020,"Louisiana State University - Baton Rouge","SEC","LA"
127,28,2016,"Stanford University","PAC-12","CA"
386,28,2017,"University of Michigan-Ann Arbor","Big Ten","MI"
907,28,2019,"University of Notre Dame","ACC","IN"
645,28,2018,"Virginia Polytechnic Institute and State University","ACC","VA"
646,29,2018,"Florida State University","ACC","FL"
908,29,2019,"Texas Christian University","Big 12","TX"
1168,29,2020,"University of Georgia","SEC","GA"
387,29,2017,"University of Miami","ACC","FL"
128,29,2016,"University of Mississippi","SEC","MS"
1169,30,2020,"Auburn University","SEC","AL"
129,30,2016,"Louisiana Tech University","C-USA","LA"
647,30,2018,"University of Central Florida","AAC","FL"
909,30,2019,"University of Georgia","SEC","GA"
388,30,2017,"University of Wisconsin - Madison","Big Ten","WI"
130,31,2016,"Texas A&M University","SEC","TX"
130,31,2016,"Texas A&M University","SEC","TX"
1170,31,2020,"Texas Christian University","Big 12","TX"
