,player_id,pick,year,t_name,c_name,state
175,643,26,2018,The University of Alabama,SEC,AL
176,384,26,2017,"University of California, Los Angeles",PAC-12,CA
179,125,26,2016,University of Memphis,AAC,TN
180,1165,26,2020,Utah State University,MW,UT
181,385,27,2017,Louisiana State University - Baton Rouge,SEC,LA
182,906,27,2019,Mississippi State University,SEC,MS
183,644,27,2018,San Diego State University,MW,CA
184,1166,27,2020,Texas Tech University,Big 12,TX
185,126,27,2016,"University of California, Los Angeles",PAC-12,CA
188,1167,28,2020,Louisiana State University - Baton Rouge,SEC,LA
189,127,28,2016,Stanford University,PAC-12,CA
190,386,28,2017,University of Michigan-Ann Arbor,Big Ten,MI
191,907,28,2019,University of Notre Dame,ACC,IN
192,645,28,2018,Virginia Polytechnic Institute and State University,ACC,VA
193,646,29,2018,Florida State University,ACC,FL
194,908,29,2019,Texas Christian University,Big 12,TX
195,1168,29,2020,University of Georgia,SEC,GA
196,387,29,2017,University of Miami,ACC,FL
197,128,29,2016,University of Mississippi,SEC,MS
198,1169,30,2020,Auburn University,SEC,AL
199,129,30,2016,Louisiana Tech University,C-USA,LA
200,647,30,2018,University of Central Florida,AAC,FL
201,909,30,2019,University of Georgia,SEC,GA
202,388,30,2017,University of Wisconsin - Madison,Big Ten,WI
203,130,31,2016,Texas A&M University,SEC,TX
205,1170,31,2020,Texas Christian University,Big 12,TX
206,389,31,2017,The University of Alabama,SEC,AL
207,648,31,2018,University of Georgia,SEC,GA
208,910,31,2019,University of Washington,PAC-12,WA
213,911,32,2019,Arizona State University,PAC-12,AZ
214,1171,32,2020,Louisiana State University - Baton Rouge,SEC,LA
215,132,32,2016,Oklahoma State University,Big 12,OK
216,649,32,2018,University of Louisville,ACC,KY
217,390,32,2017,University of Wisconsin - Madison,Big Ten,WI
218,133,33,2016,Clemson University,ACC,SC
219,1173,33,2020,Clemson University,ACC,SC
220,651,33,2018,University of Nevada-Reno,MW,NV
221,913,33,2019,University of Washington,PAC-12,WA
223,392,33,2017,University of Washington,PAC-12,WA
231,914,34,2019,Temple University,AAC,PA
232,393,34,2017,The University of Alabama,SEC,AL
233,134,34,2016,University of Notre Dame,ACC,IN
234,1174,34,2020,University of South Carolina,SEC,SC
235,652,34,2018,University of Texas at El Paso,C-USA,TX
239,915,35,2019,Florida State University,ACC,FL
240,394,35,2017,Michigan State University,Big Ten,MI
241,135,35,2016,University of Arkansas,SEC,AR
242,1175,35,2020,University of Georgia,SEC,GA
243,653,35,2018,University of Georgia,SEC,GA
244,654,36,2018,South Carolina State University,MEAC,SC
245,1176,36,2020,The University of Alabama,SEC,AL
246,136,36,2016,"University of California, Los Angeles",PAC-12,CA
249,916,36,2019,University of South Carolina,SEC,SC
250,395,36,2017,University of Washington,PAC-12,WA
255,655,37,2018,Auburn University,SEC,AL
256,396,37,2017,East Carolina University,AAC,NC
257,137,37,2016,Mississippi State University,SEC,MS
258,917,37,2019,University of Mississippi,SEC,MS
259,138,38,2016,Baylor University,Big 12,TX
260,1178,38,2020,Pennsylvania State University,Big Ten,PA
272,918,38,2019,University of Oklahoma,Big 12,OK
276,656,38,2018,University of South Carolina,SEC,SC
277,397,38,2017,Western Kentucky University,C-USA,KY
278,919,39,2019,Central Michigan University,MAC,MI
279,139,39,2016,Eastern Kentucky University,ASUN,LA
283,398,39,2017,Florida State University,ACC,FL
284,657,39,2018,University of Iowa,Big Ten,IA
285,1179,39,2020,University of Louisiana at Lafayette,SBC,LA
286,920,40,2019,Clemson University,ACC,SC
287,399,40,2017,Ohio State University,Big Ten,OH
288,658,40,2018,Southern Methodist University,AAC,TX
289,1180,40,2020,Texas Christian University,Big 12,TX
290,140,40,2016,University of Oklahoma,Big 12,OK
294,659,41,2018,Boston College,ACC,MA
295,400,41,2017,Florida State University,ACC,FL
296,921,41,2019,Kansas State University,Big 12,KS
297,141,41,2016,The University of Alabama,SEC,AL
298,1181,41,2020,University of Wisconsin - Madison,Big Ten,WI
299,142,42,2016,Boise State University,MW,ID
300,660,42,2018,Pennsylvania State University,Big Ten,PA
312,1182,42,2020,University of Colorado Boulder,PAC-12,CO
313,922,42,2019,University of Missouri,SEC,MS
314,401,42,2017,University of Utah,PAC-12,UT
315,661,43,2018,Auburn University,SEC,AL
316,143,43,2016,Pennsylvania State University,Big Ten,PA
328,1183,43,2020,University of Notre Dame,ACC,IN
329,402,43,2017,University of Washington,PAC-12,WA
334,1184,44,2020,Louisiana State University - Baton Rouge,SEC,LA
335,924,44,2019,Mississippi State University,SEC,MS
336,144,44,2016,University of Illinois at Urbana-Champaign,Big Ten,IL
340,403,44,2017,University of South Alabama,SBC,AL
341,662,44,2018,University of Washington,PAC-12,WA
346,145,45,2016,The University of Alabama,SEC,AL
347,663,45,2018,University of Iowa,Big Ten,IA
348,1185,45,2020,"University of Minnesota, Twin Cities",Big Ten,MN
349,925,45,2019,Vanderbilt University,SEC,TN
350,405,46,2017,Florida State University,ACC,FL
351,926,46,2019,Louisiana State University - Baton Rouge,SEC,LA
352,1186,46,2020,Pennsylvania State University,Big Ten,PA
364,146,46,2016,The University of Alabama,SEC,AL
365,664,46,2018,University of Mississippi,SEC,MS
366,1187,47,2020,Auburn University,SEC,AL
367,147,47,2016,Ohio State University,Big Ten,OH
368,665,47,2018,Texas A&M University,SEC,TX
370,406,47,2017,University of Houston,AAC,TX
371,927,47,2019,University of Utah,PAC-12,UT
372,148,48,2016,Indiana State University,MVFC,IN
373,928,48,2019,Texas A&M University,SEC,TX
375,407,48,2017,University of Oklahoma,Big 12,OK
379,666,48,2018,University of South Carolina,SEC,SC
380,1188,48,2020,University of Tennessee,SEC,TN
384,667,49,2018,South Dakota State University,MVFC,SD
385,929,49,2019,Texas Christian University,Big 12,TX
386,408,49,2017,The University of Alabama,SEC,AL
387,149,49,2016,The University of Alabama,SEC,AL
388,1189,49,2020,University of Notre Dame,ACC,IN
389,409,50,2017,Texas A&M University,SEC,TX
391,930,50,2019,The University of Alabama,SEC,AL
392,668,50,2018,The University of Texas at Austin,Big 12,TX
393,150,50,2016,University of Notre Dame,ACC,IN
394,1190,50,2020,University of Utah,PAC-12,UT
395,410,51,2017,Florida State University,ACC,FL
396,151,51,2016,Pennsylvania State University,Big Ten,PA
408,1191,51,2020,The University of Alabama,SEC,AL
409,669,51,2018,University of Memphis,AAC,TN
410,931,51,2019,University of Mississippi,SEC,MS
411,1192,52,2020,Florida State University,ACC,FL
412,152,52,2016,Louisiana State University - Baton Rouge,SEC,LA
413,670,52,2018,Rutgers University,Big Ten,NJ
414,411,52,2017,University of Notre Dame,ACC,IN
415,932,52,2019,University of Washington,PAC-12,WA
420,412,53,2017,Florida State University,ACC,FL
421,933,53,2019,Pennsylvania State University,Big Ten,PA
433,671,53,2018,University of North Carolina at Greensboro,SoCon,NC
434,1193,53,2020,University of Oklahoma,Big 12,OK
438,153,53,2016,University of South Carolina,SEC,SC
439,154,54,2016,Clemson University,ACC,SC
440,413,54,2017,Ohio State University,Big Ten,OH
441,1194,54,2020,University of Iowa,Big Ten,IA
442,934,54,2019,University of Kentucky,SEC,KY
443,672,54,2018,Wake Forest University,ACC,NC
444,673,55,2018,Louisiana State University - Baton Rouge,SEC,LA
445,935,55,2019,Northern Illinois University,MAC,IL
446,1195,55,2020,Ohio State University,Big Ten,OH
447,414,55,2017,The University of Alabama,SEC,AL
448,155,55,2016,University of Pittsburgh,ACC,PA
449,415,56,2017,Central Connecticut State University,NEC,CT
450,674,56,2018,Florida State University,ACC,FL
451,156,56,2016,Kansas State University,Big 12,KS
452,1196,56,2020,The University of Alabama,SEC,AL
453,936,56,2019,University of Georgia,SEC,GA
454,157,57,2016,Clemson University,ACC,SC
455,1197,57,2020,Florida State University,ACC,FL
456,675,57,2018,Sam Houston State University,WAC,TX
457,937,57,2019,Stanford University,PAC-12,CA
458,416,57,2017,Vanderbilt University,SEC,TN
459,1198,58,2020,Boise State University,MW,ID
460,417,58,2017,Louisiana State University - Baton Rouge,SEC,LA
461,938,58,2019,University of Central Florida,AAC,FL
462,676,58,2018,University of Colorado Boulder,PAC-12,CO
463,158,58,2016,"University of Maryland, College Park",Big Ten,MD
467,1199,59,2020,Baylor University,Big 12,TX
468,159,59,2016,Florida State University,ACC,FL
469,677,59,2018,Louisiana State University - Baton Rouge,SEC,LA
470,939,59,2019,Ohio State University,Big Ten,OH
471,678,60,2018,Oklahoma State University,Big 12,OK
472,160,60,2016,The University of Alabama,SEC,AL
473,419,60,2017,University of Colorado Boulder,PAC-12,CO
474,940,60,2019,University of Delaware,CAA,DE
475,1200,60,2020,University of Michigan-Ann Arbor,Big Ten,MI
476,1201,61,2020,Louisiana State University - Baton Rouge,SEC,LA
477,679,61,2018,Louisiana State University - Baton Rouge,SEC,LA
478,420,61,2017,North Carolina State University - Raleigh,ACC,NC
479,161,61,2016,Ohio State University,Big Ten,OH
480,941,61,2019,University of Washington,PAC-12,WA
485,1202,62,2020,Boston College,ACC,MA
486,162,62,2016,Samford University,SoCon,AL
487,942,62,2019,University of Massachusetts Amherst,Independent,NE
491,680,62,2018,University of Pittsburgh,ACC,PA
492,421,62,2017,University of South Carolina,SEC,SC
493,681,63,2018,Auburn University,SEC,AL
494,163,63,2016,Georgia Institute of Technology,ACC,GA
495,1203,63,2020,Mississippi State University,SEC,MS
496,422,63,2017,Temple University,AAC,PA
497,943,63,2019,University of Virginia,ACC,VA
502,165,64,2016,Middle Tennessee State University,C-USA,TN
503,682,64,2018,Ohio State University,Big Ten,OH
504,1204,64,2020,Southern Illinois University Carbondale,MVFC,IL
505,944,64,2019,University of Mississippi,SEC,MS
506,946,65,2019,Boston College,ACC,MA
507,684,65,2018,North Carolina A & T State University,Big South Conference,NC
508,166,65,2016,Pennsylvania State University,Big Ten,PA
520,425,65,2017,University of North Carolina at Charlotte,C-USA,NC
521,1206,65,2020,University of Wyoming,MW,WY
522,426,66,2017,University of Colorado Boulder,PAC-12,CO
